,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Kia,Sorento,2.2 Crdi Emotion Aut.,2012,04,78.000 km,Diesel,197 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-barcelona.htm?id=8106270,12499
1,Kia,Sorento,1.6 T-gdi Hev Drive 4x2,2020,10,76.476 km,Híbrido,233 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-drive-4x2-en-toledo.htm?id=8116660,35199
2,Kia,Sorento,2.2 Crdi Emotion Aut.,2011,,140.000 km,Diesel,197 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-tarragona.htm?id=7996343,11000
3,Kia,Sorento,2.2 Crdi Emotion Aut.,2011,,140.000 km,Diesel,197 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-tarragona.htm?id=7996342,11000
4,Kia,Sorento,2.2 Crdi Drive 4x2,2015,,272.483 km,Diesel,197 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-drive-4x2-en-ciudad+real.htm?id=8071716,13500
5,Kia,Sorento,2.2crdi Drive 4x2 Dct,2023,02,4.958 km,Diesel,194 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-kia-sorento-22crdi-drive-4x2-dct-en-sevilla.htm?id=7874144,42900
6,Kia,Sorento,1.6 T-gdi Hev Emotion Pack Luxury 4x2,2021,,28.700 km,Híbrido,233 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-emotion-pack-luxury-4x2-en-alicante.htm?id=8113905,41900
7,Kia,Sorento,2.2crdi Drive 4x2 Dct,2023,01,31.256 km,Diesel,202 CV,automática secuencial,5 puertas,STEEL GREY,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-drive-4x2-dct-en-vizcaya.htm?id=8120202,43990
8,Kia,Sorento,1.6 T-gdi Phev Drive 4x4,2023,01,34 km,Híbrido,265 CV,automática secuencial,5 puertas,AZUL GRAVITY BLUE,Profesional,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-phev-drive-4x4-en-vizcaya.htm?id=8112247,51980
9,Kia,Sorento,1.6 T-gdi Hev Emotion Pack Luxury 4x4,2022,,33.845 km,Híbrido,233 CV,automática secuencial,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-emotion-pack-luxury-4x4-en-madrid.htm?id=8110761,44990
10,Kia,Sorento,2.5crdi Ex,2006,,247.000 km,Diesel,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex-en-sevilla.htm?id=8077895,9500
11,Kia,Sorento,2.2crdi Emotion 4x4 Aut.,2017,01,136.000 km,Diesel,200 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-emotion-4x4-aut-en-barcelona.htm?id=8055048,23990
12,Kia,Sorento,2.2crdi Drive 4x4 Aut.,2020,,120.000 km,Diesel,200 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-drive-4x4-aut-en-sevilla.htm?id=8034948,28990
13,Kia,Sorento,1.6 T-gdi Hev Emotion 4x2,2020,01,51.897 km,Híbrido,233 CV,automática secuencial,5 puertas,SNOW WHITE PEARL,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-emotion-4x2-en-navarra.htm?id=8040026,43800
14,Kia,Sorento,2.5crdi Ex2 Tod,2006,06,193.876 km,Diesel,140 CV,manual,5 puertas,Granate,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex2-tod-en-alicante.htm?id=8011491,6950
15,Kia,Sorento,2.2 Crdi Emotion Aut.,2011,05,123.000 km,Diesel,197 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-madrid.htm?id=7980672,13850
16,Kia,Sorento,2.2 Crdi Emotion 4x4,2016,05,103.950 km,Diesel,197 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-4x4-en-madrid.htm?id=7965231,24500
17,Kia,Sorento,2.2crdi Emotion 4x4 Aut.,2017,04,93.000 km,Diesel,200 CV,automática,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-emotion-4x4-aut-en-valencia.htm?id=7953839,26900
18,Kia,Sorento,1.6 T-gdi Hev Black Edition 4x2,2022,09,21.499 km,Híbrido,233 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-black-edition-4x2-en-coruna+a.htm?id=7940402,50800
19,Kia,Sorento,1.6 T-gdi Phev Emotion 4x4,2021,03,20.400 km,Híbrido,265 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-phev-emotion-4x4-en-coruna+a.htm?id=7905122,49850
20,Kia,Sorento,2.2 Crdi Emotion Aut.,2010,11,79.300 km,Diesel,197 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-emotion-aut-en-madrid.htm?id=7898363,14350
21,Kia,Sorento,1.6 T-gdi Hev Drive 4x2,2023,07,NUEVO,Híbrido,233 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-hev-drive-4x2-en-burgos.htm?id=7894921,43380
22,Kia,Sorento,2.2crdi Drive 4x4 Aut.,2016,,185.936 km,Diesel,200 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-drive-4x4-aut-en-ciudad+real.htm?id=8071715,19900
23,Kia,Sorento,2.5crdi Xline,2007,06,190.000 km,Diesel,170 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-xline-en-cadiz.htm?id=8028210,7990
24,Kia,Sorento,1.6 T-gdi Hev Drive 4x2,2020,12,115.000 km,Híbrido,233 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-hev-drive-4x2-en-barcelona.htm?id=8004724,34900
25,Kia,Sorento,2.5crdi Emotion,2009,,216.818 km,Diesel,170 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-emotion-en-asturias.htm?id=7967274,8000
26,Kia,Sorento,2.5crdi Xline,2007,06,109.000 km,Diesel,170 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-xline-en-cordoba.htm?id=7733756,11500
27,Kia,Sorento,2.5crdi Ex,2005,,198.815 km,Diesel,140 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex-en-malaga.htm?id=8110645,6800
28,Kia,Sorento,2.5crdi Exii-active,2007,,176.000 km,Diesel,170 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-exii-active-en-barcelona.htm?id=8111058,7900
29,Kia,Sorento,2.2crdi Emotion 4x4,2016,,219.553 km,Diesel,200 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-emotion-4x4-en-coruna+a.htm?id=8125825,22000
30,Kia,Sorento,2.5crdi Exi-concept,2007,,195.000 km,Diesel,170 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-exi-concept-en-zamora.htm?id=7980443,7000
31,Kia,Sorento,2.5crdi Exii-active,2009,,205.000 km,Diesel,170 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-exii-active-en-barcelona.htm?id=7884810,7300
32,Kia,Sorento,1.6 T-gdi Phev Emotion 4x4,2021,,38.000 km,Híbrido,265 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-16-t-gdi-phev-emotion-4x4-en-madrid.htm?id=7750884,44600
33,Kia,Sorento,2.5crdi Ex,2005,,233.000 km,Diesel,140 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex-en-avila.htm?id=7966853,5200
34,Kia,Sorento,2.2 Crdi Active 4x4,2010,,81.567 km,Diesel,197 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22-crdi-active-4x4-en-zamora.htm?id=7735205,8500
35,Kia,Sorento,2.5crdi Ex,2006,,253.000 km,Diesel,140 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex-en-tenerife.htm?id=7997289,3200
36,Kia,Sorento,2.5crdi Exi-concept,2009,,143.000 km,Diesel,170 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-exi-concept-en-palencia.htm?id=7983612,9000
37,Kia,Sorento,2.5crdi Emotion,2009,,181.000 km,Diesel,170 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-emotion-en-badajoz.htm?id=7917268,6500
38,Kia,Sorento,2.5crdi Exi-concept,2009,,175.000 km,Diesel,170 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-exi-concept-en-asturias.htm?id=7802010,8500
39,Kia,Sorento,2.2crdi Concept 4x2,2016,,56.137 km,Diesel,200 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-concept-4x2-en-madrid.htm?id=7714544,23500
40,Kia,Sorento,2.2crdi Concept 4x2,2015,,151.000 km,Diesel,200 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-concept-4x2-en-guadalajara.htm?id=7689354,17000
41,Kia,Sorento,2.2crdi Emotion 4x4 Aut.,2015,,100.600 km,Diesel,200 CV,automática,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-emotion-4x4-aut-en-barcelona.htm?id=7657659,24200
42,Kia,Sorento,2.5crdi Ex,2005,,186.000 km,Diesel,140 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex-en-madrid.htm?id=7117239,6500
43,Kia,Sorento,2.5crdi Ex2 Tod,2005,,300 km,Diesel,140 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-25crdi-ex2-tod-en-jaen.htm?id=7852372,3500
44,Kia,Sorento,2.2crdi Drive 4x2 Dct,2023,06,10.350 km,Diesel,194 CV,automática secuencial,5 puertas,AURORA BLACK PEARL M,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-kia-sorento-22crdi-drive-4x2-dct-en-valencia.htm?id=8124389,45500
45,Kia,Sorento,1.6 T-gdi Phev Drive 4x4,2023,11,NUEVO,Híbrido,265 CV,automática secuencial,5 puertas,SNOW WHITE PEARL,Profesional,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-phev-drive-4x4-en-barcelona.htm?id=8106420,49980
46,Kia,Sorento,1.6 T-gdi Phev Drive 4x4,2023,11,NUEVO,Híbrido,265 CV,automática secuencial,5 puertas,CLEAR WHITE,Profesional,https://www.coches.com/km0/seminuevo-kia-sorento-16-t-gdi-phev-drive-4x4-en-barcelona.htm?id=8100906,49680
