,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Discovery,3.0sdv6 Se Aut.,2019,05,127.309 km,Diesel,306 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30sdv6-se-aut-en-madrid.htm?id=7905324,35990
1,Land Rover,Discovery,2.0sd4 Se Aut.,2018,,62.489 km,Diesel,240 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-se-aut-en-madrid.htm?id=7956369,38990
2,Land Rover,Discovery,2.0sd4 Se Aut.,2020,,129.000 km,Diesel,240 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-se-aut-en-sevilla.htm?id=8088272,35990
3,Land Rover,Discovery,2.7tdv6 Se,2004,,268.358 km,Diesel,190 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-se-en-sevilla.htm?id=8079397,13500
4,Land Rover,Discovery,2.0td4 Hse Aut.,2017,09,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20td4-hse-aut-en-sevilla.htm?id=8113119,31890
5,Land Rover,Discovery,2.0td4 Hse Aut.,2017,09,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20td4-hse-aut-en-madrid.htm?id=8113071,31890
6,Land Rover,Discovery,2.0td4 Hse Aut.,2017,09,109.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20td4-hse-aut-en-malaga.htm?id=8111764,31890
7,Land Rover,Discovery,3.0tdv6 Se Aut.,2012,,224.000 km,Diesel,211 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30tdv6-se-aut-en-badajoz.htm?id=8080920,17900
8,Land Rover,Discovery,3.0sdv6 Hse Aut.,2017,,172.000 km,Diesel,256 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30sdv6-hse-aut-en-ciudad+real.htm?id=8075530,34990
9,Land Rover,Discovery,2.0sd4 Se Aut.,2017,05,127.044 km,Diesel,240 CV,automática secuencial,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-se-aut-en-madrid.htm?id=8041304,38990
10,Land Rover,Discovery,3.0d I6 Se Aut. 249,2022,10,12.280 km,Diesel,249 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30d-i6-se-aut-249-en-madrid.htm?id=7997001,85400
11,Land Rover,Discovery,2.0sd4 Hse Aut.,2018,11,62.652 km,Diesel,240 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-hse-aut-en-madrid.htm?id=7958591,39950
12,Land Rover,Discovery,2.7tdv6 S,2007,01,234.000 km,Diesel,190 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-s-en-alava.htm?id=7931794,12500
13,Land Rover,Discovery,2.0sd4 Hse Aut.,2018,11,62.652 km,Diesel,240 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-hse-aut-en-madrid.htm?id=7796307,39950
14,Land Rover,Discovery,3.0td6 Hse Aut.,2018,,150.545 km,Diesel,258 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30td6-hse-aut-en-madrid.htm?id=7718512,38500
15,Land Rover,Discovery,2.0sd4 Hse Aut.,2017,,90.298 km,Diesel,240 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-hse-aut-en-malaga.htm?id=7657297,39500
16,Land Rover,Discovery,2.0td4 Hse Aut.,2017,05,138.000 km,Diesel,180 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20td4-hse-aut-en-jaen.htm?id=7524776,25999
17,Land Rover,Discovery,Expedition Td 5,1999,,300.000 km,Diesel,138 CV,automática,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-expedition-td-5-en-sevilla.htm?id=7984602,4800
18,Land Rover,Discovery,2.5 Base Tdi,1994,,284.000 km,Diesel,112 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-25-base-tdi-en-granada.htm?id=8027236,5500
19,Land Rover,Discovery,2.7tdv6 Se,2007,,230.000 km,Diesel,190 CV,manual,5 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-se-en-ourense.htm?id=7969786,21000
20,Land Rover,Discovery,3.0td6 First Edition Aut.,2018,,120.000 km,Diesel,258 CV,automática secuencial,5 puertas,naranja,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30td6-first-edition-aut-en-barcelona.htm?id=7927817,46800
21,Land Rover,Discovery,2.5 Td5 E,2004,,197.000 km,Diesel,138 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-25-td5-e-en-alicante.htm?id=7895198,11700
22,Land Rover,Discovery,2.7tdv6 Se,2005,,380.000 km,Diesel,190 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-se-en-cantabria.htm?id=8104874,6200
23,Land Rover,Discovery,2.7tdv6 Hse Commandshift,2008,,230.000 km,Diesel,190 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-hse-commandshift-en-guipuzcoa.htm?id=8099523,15300
24,Land Rover,Discovery,3.0tdv6 Se Aut.,2011,,148.000 km,Diesel,211 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30tdv6-se-aut-en-ciudad+real.htm?id=7964867,23500
25,Land Rover,Discovery,3.0sdv6 Hse 255 Aut.,2012,,189.000 km,Diesel,256 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30sdv6-hse-255-aut-en-ciudad+real.htm?id=7878792,19500
26,Land Rover,Discovery,2.7tdv6 Se,2010,,160.000 km,Diesel,190 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-se-en-lleida.htm?id=7868476,19000
27,Land Rover,Discovery,2.0sd4 Hse Aut.,2019,,19.800 km,Diesel,240 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-hse-aut-en-madrid.htm?id=7749847,45000
28,Land Rover,Discovery,2.0sd4 Hse Aut.,2017,,97.000 km,Diesel,240 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20sd4-hse-aut-en-granada.htm?id=7727199,31630
29,Land Rover,Discovery,2.0td4 S Aut.,2017,,102.000 km,Diesel,180 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-20td4-s-aut-en-malaga.htm?id=7708643,31000
30,Land Rover,Discovery,3.0sdv6 Hse Aut.,2019,,189.030 km,Diesel,306 CV,automática secuencial,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30sdv6-hse-aut-en-cantabria.htm?id=7907943,34100
31,Land Rover,Discovery,2.5 Base Tdi,1997,,320.000 km,Diesel,112 CV,manual,5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-25-base-tdi-en-madrid.htm?id=7822583,4000
32,Land Rover,Discovery,2.5 Td5 E,2003,,406.550 km,Diesel,138 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-25-td5-e-en-asturias.htm?id=7770223,6000
33,Land Rover,Discovery,2.5 Base Tdi,1998,,297.000 km,Diesel,112 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-25-base-tdi-en-barcelona.htm?id=7599571,3900
34,Land Rover,Discovery,3.0tdv6 S Aut.,2010,,150.000 km,Diesel,211 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-30tdv6-s-aut-en-barcelona.htm?id=8052501,15000
35,Land Rover,Discovery,2.7tdv6 Hse,2008,,198.000 km,Diesel,190 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-discovery-27tdv6-hse-en-toledo.htm?id=7864164,8000
