,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Land Rover,Freelander,2.2td4 S&s E 4x4,2011,,140.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-s_s-e-4x4-en-tarragona.htm?id=8104473,11490
1,Land Rover,Freelander,2.2td4 Hse,2007,05,199.999 km,Diesel,160 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-hse-en-barcelona.htm?id=7993418,9699
2,Land Rover,Freelander,2.2td4 S Commandshift,2009,12,197.236 km,Diesel,160 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-s-commandshift-en-tarragona.htm?id=7762634,12000
3,Land Rover,Freelander,2.2td4 S&s Se Dynamic 4x4,2014,,140.000 km,Diesel,150 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-s_s-se-dynamic-4x4-en-tarragona.htm?id=8106760,14990
4,Land Rover,Freelander,2.2td4 Hse,2008,05,240.000 km,Diesel,160 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-hse-en-badajoz.htm?id=7853303,10900
5,Land Rover,Freelander,2.2td4 E,2008,,142.512 km,Diesel,160 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-e-en-pontevedra.htm?id=7988018,13500
6,Land Rover,Freelander,2.0 Xedi,2000,01,267.527 km,Diesel,97 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-20-xedi-en-zaragoza.htm?id=7756907,5999
7,Land Rover,Freelander,2.0td4 Se,2005,01,199.000 km,Diesel,112 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-20td4-se-en-murcia.htm?id=7431751,7900
8,Land Rover,Freelander,2.2td4 S,2010,08,232.000 km,Diesel,160 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-s-en-cadiz.htm?id=8031372,9890
9,Land Rover,Freelander,2.2td4 S&s S,2009,,194.050 km,Diesel,160 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-land+rover-freelander-22td4-s_s-s-en-barcelona.htm?id=8095808,8125
