,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lexus,Es,300h Executive,2019,,95.399 km,Híbrido,218 CV,automática continua,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-executive-en-castellon.htm?id=8123862,33500
1,Lexus,Es,300h Premium,2023,01,8.994 km,Híbrido,218 CV,automática continua,4 puertas,Azul Oceano,Profesional,https://www.coches.com/km0/seminuevo-lexus-es-300h-premium-en-barcelona.htm?id=8090610,47900
2,Lexus,Es,300h Luxury,2019,08,53.000 km,Híbrido,218 CV,automática continua,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-luxury-en-madrid.htm?id=8021432,36490
3,Lexus,Es,300h F Sport,2019,07,72.000 km,Híbrido,218 CV,automática continua,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-f-sport-en-madrid.htm?id=8006281,35490
4,Lexus,Es,300h Luxury D-view,2021,,28.000 km,Híbrido,218 CV,automática continua,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-luxury-d-view-en-barcelona.htm?id=7869799,52900
5,Lexus,Es,300h Premium,2021,,69.900 km,Híbrido,218 CV,automática continua,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-premium-en-toledo.htm?id=7811145,42900
6,Lexus,Es,300h Premium,2023,,NUEVO,Híbrido,218 CV,automática continua,4 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-lexus-es-300h-premium-en-barcelona.htm?id=7729368,49900
7,Lexus,Es,300h Premium,2020,,125.000 km,Híbrido,218 CV,automática continua,4 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-premium-en-madrid.htm?id=8035321,31000
8,Lexus,Es,300h Premium,2022,,7.500 km,Híbrido,218 CV,automática continua,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-lexus-es-300h-premium-en-barcelona.htm?id=7770127,48900
9,Lexus,Es,300h Executive,2019,10,53.000 km,Híbrido,218 CV,automática continua,4 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-executive-en-coruna+a.htm?id=8117657,35900
10,Lexus,Es,300h Executive,2019,11,47.000 km,Híbrido,218 CV,automática continua,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-executive-en-madrid.htm?id=8114640,35990
11,Lexus,Es,300h Busins,2019,01,71.286 km,Híbrido,218 CV,automática continua,4 puertas,GRIS,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-barcelona.htm?id=8108783,34900
12,Lexus,Es,300h Busins,2019,03,91.692 km,Híbrido,218 CV,automática continua,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-malaga.htm?id=8096525,33900
13,Lexus,Es,300h Premium,2021,08,39.105 km,Híbrido,218 CV,automática continua,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-premium-en-madrid.htm?id=8087686,40990
14,Lexus,Es,300h Executive,2020,06,33.000 km,Híbrido,218 CV,automática continua,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-executive-en-madrid.htm?id=8082094,39990
15,Lexus,Es,300h Luxury,2023,04,14.143 km,Híbrido,218 CV,automática continua,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-luxury-en-madrid.htm?id=8053836,66995
16,Lexus,Es,300h F-sport,2023,05,11.112 km,Híbrido,218 CV,automática continua,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-f-sport-en-madrid.htm?id=8053835,65995
17,Lexus,Es,300h F Sport,2018,12,98.700 km,Híbrido,218 CV,automática continua,4 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-f-sport-en-madrid.htm?id=8053834,37490
18,Lexus,Es,300h Busins,2019,08,44.000 km,Híbrido,218 CV,automática continua,4 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-madrid.htm?id=8023262,35900
19,Lexus,Es,300h Luxury,2019,04,58.930 km,Híbrido,218 CV,automática continua,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-luxury-en-madrid.htm?id=8020867,39490
20,Lexus,Es,300h Busins,2019,04,94.389 km,Híbrido,218 CV,automática continua,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-madrid.htm?id=7994133,35490
21,Lexus,Es,300h Luxury,2020,01,22.480 km,Híbrido,218 CV,automática continua,4 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-luxury-en-madrid.htm?id=7983287,49990
22,Lexus,Es,300h Busins,2020,02,28.150 km,Híbrido,218 CV,automática continua,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-madrid.htm?id=7973527,37990
23,Lexus,Es,300h Busins,2020,02,26.026 km,Híbrido,218 CV,automática continua,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-es-300h-business-en-malaga.htm?id=7924974,37900
