,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Lexus,Ux,250h Business Navigation 2wd,2019,,53.435 km,Híbrido,184 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-navigation-2wd-en-madrid.htm?id=8091611,25290
1,Lexus,Ux,250h Business Navigation 2wd,2019,03,58.352 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-navigation-2wd-en-sevilla.htm?id=8060217,24480
2,Lexus,Ux,250h Business Navigation 2wd,2019,03,58.352 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-navigation-2wd-en-malaga.htm?id=8058918,24480
3,Lexus,Ux,250h Business Navigation 2wd,2019,03,58.352 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-navigation-2wd-en-madrid.htm?id=8058752,24480
4,Lexus,Ux,300e Business,2022,,680 km,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-lexus-ux-300e-business-en-valencia.htm?id=7355459,35250
5,Lexus,Ux,250h Business 2wd,2022,01,20.000 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-palmas+las.htm?id=8099623,28990
6,Lexus,Ux,250h Business 2wd,2022,03,20.594 km,Híbrido,184 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-barcelona.htm?id=8073805,28900
7,Lexus,Ux,250h Business 2wd,2019,,58.196 km,Híbrido,184 CV,automática continua,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-valencia.htm?id=8112428,26500
8,Lexus,Ux,250h Business Navigation 2wd,2019,,35.532 km,Híbrido,184 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-navigation-2wd-en-valencia.htm?id=8112419,27750
9,Lexus,Ux,250h Executive 2wd,2020,02,50.293 km,Híbrido,184 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-executive-2wd-en-toledo.htm?id=8111992,26799
10,Lexus,Ux,300e Lury,2021,,12.542 km,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-300e-luxury-en-valencia.htm?id=8101083,35995
11,Lexus,Ux,250h Business 2wd,2022,10,13.169 km,Híbrido,184 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-barcelona.htm?id=8088082,30450
12,Lexus,Ux,250h Premium 2wd,2023,08,3.900 km,Híbrido,184 CV,automática continua,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-lexus-ux-250h-premium-2wd-en-zaragoza.htm?id=8062133,35900
13,Lexus,Ux,250h Executive 2wd,2019,05,109.256 km,Híbrido,184 CV,automática continua,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-executive-2wd-en-toledo.htm?id=8049036,22899
14,Lexus,Ux,250h Business 2wd,2021,05,72.255 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-madrid.htm?id=8036319,26890
15,Lexus,Ux,250h Business 2wd,2021,06,73.641 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-madrid.htm?id=8036316,26890
16,Lexus,Ux,250h Business 2wd,2021,06,72.202 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-madrid.htm?id=8036311,26890
17,Lexus,Ux,250h Business 2wd,2021,06,72.910 km,Híbrido,184 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-lexus-ux-250h-business-2wd-en-madrid.htm?id=8036310,26890
