,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mg,5,,2023,,NUEVO,Eléctrico,156 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-alava.htm?id=8064016,40630
1,Mg,5,,2022,01,15.126 km,Eléctrico,156 CV,no link (0018),5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-5-mg-electric-luxury-long-en-illes+balears.htm?id=8041056,37500
2,Mg,5,,2023,01,NUEVO,Eléctrico,156 CV,no link (0018),5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-burgos.htm?id=8028913,34900
3,Mg,5,,2023,05,5.000 km,Eléctrico,156 CV,no link (0018),5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-malaga.htm?id=7977604,35900
4,Mg,5,,2023,05,5.000 km,Eléctrico,156 CV,no link (0018),5 puertas,Gris Plata,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-guipuzcoa.htm?id=8018775,35900
5,Mg,5,,2023,05,6.000 km,Eléctrico,156 CV,no link (0018),5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-guipuzcoa.htm?id=8018767,32900
6,Mg,5,,2023,12,NUEVO,Eléctrico,156 CV,no link (0018),5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-ourense.htm?id=7928403,39990
7,Mg,5,,2022,,15.250 km,Eléctrico,177 CV,no link (0018),5 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mg-5-mg-electric-luxury-standard-en-madrid.htm?id=7757983,30500
8,Mg,5,,2023,01,7 km,Eléctrico,156 CV,no link (0018),5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-tenerife.htm?id=8092064,23900
9,Mg,5,,2024,01,NUEVO,Eléctrico,177 CV,no link (0018),5 puertas,DOVER WHITE,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-comfort-standard-en-jaen.htm?id=7985240,35030
10,Mg,5,,2024,01,10 km,Eléctrico,177 CV,no link (0018),5 puertas,DOVER WHITE,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-comfort-standard-en-jaen.htm?id=7985193,35030
11,Mg,5,,2024,01,NUEVO,Eléctrico,156 CV,no link (0018),5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-valladolid.htm?id=7952575,39800
12,Mg,5,,2024,01,NUEVO,Eléctrico,156 CV,no link (0018),5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-valladolid.htm?id=7939401,31900
13,Mg,5,,2024,01,0 km,Eléctrico,156 CV,no link (0018),5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-cadiz.htm?id=7645263,37280
14,Mg,5,,2024,01,NUEVO,Eléctrico,156 CV,no link (0018),5 puertas,NEGRO,Profesional,https://www.coches.com/km0/seminuevo-mg-5-mg-electric-luxury-long-en-cadiz.htm?id=7645151,37280
