,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,5.836 km,Gasolina,106 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8123309,18980
1,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.709 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8121183,18890
2,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.674 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8119631,18590
3,Mg,Zs,1.0 T-gdi Luxury 82kw,2022,01,20.516 km,Gasolina,111 CV,manual,5 puertas,COMO BLUE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-10-t-gdi-luxury-82kw-en-barcelona.htm?id=8083387,18900
4,Mg,Zs,1.5 Vti-tech Comfort 78kw,2022,11,20.393 km,Gasolina,106 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-comfort-78kw-en-toledo.htm?id=8101774,17699
5,Mg,Zs,1.5 Vti-tech Comfort 78kw,2022,12,27.046 km,Gasolina,106 CV,manual,5 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-comfort-78kw-en-toledo.htm?id=8090219,17499
6,Mg,Zs,1.5 Vti-tech Comfort 78kw,2023,,60 km,Gasolina,106 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-comfort-78kw-en-tenerife.htm?id=8125241,18700
7,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.339 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8123307,18790
8,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.230 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8123306,18590
9,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.110 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8123305,18580
10,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.532 km,Gasolina,106 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8123303,18390
11,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.339 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8123255,18790
12,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.230 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8123254,18590
13,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.110 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8123253,18580
14,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.532 km,Gasolina,106 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8123251,18390
15,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.339 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8121186,18790
16,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.230 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8121185,18590
17,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,8.110 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8121184,18580
18,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.532 km,Gasolina,106 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8121182,18390
19,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.619 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8121049,18890
20,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.713 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8121048,18690
21,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.619 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8120093,18890
22,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.713 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8120092,18690
23,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,11.619 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8120055,18890
24,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.713 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8120054,18690
25,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.722 km,Gasolina,106 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-malaga.htm?id=8119684,18690
26,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.722 km,Gasolina,106 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-sevilla.htm?id=8119643,18690
27,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,6.722 km,Gasolina,106 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-madrid.htm?id=8119630,18690
28,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,01,9.428 km,Gasolina,106 CV,manual,5 puertas,DEEP RED METALIZADO,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-illes+balears.htm?id=8059602,20990
29,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,7.198 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-barcelona.htm?id=8049701,18990
30,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,04,11.351 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-barcelona.htm?id=8049700,18990
31,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,04,9.603 km,Gasolina,106 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mg-zs-15-vti-tech-luxury-78kw-en-barcelona.htm?id=8049696,18990
32,Mg,Zs,1.5 Vti-tech Luxury 78kw,2023,06,10.670 km,Gasolina,106 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mg-zs-15-vti-tech-luxury-78kw-en-barcelona.htm?id=8049694,18990
