,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase A,A 180 7g-dct,2022,07,13.796 km,Gasolina,136 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180-7g-dct-en-barcelona.htm?id=8081909,30885
1,Mercedes,Clase A,A 200d 4matic 8g-dct,2019,11,138.548 km,Diesel,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-4matic-8g-dct-en-malaga.htm?id=8069799,22990
2,Mercedes,Clase A,A 250e 8g-dct,2022,11,7.296 km,Híbrido,218 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-250e-8g-dct-en-badajoz.htm?id=8061277,37900
3,Mercedes,Clase A,A 200d 8g-dct,2022,10,13.168 km,Diesel,150 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-8g-dct-en-barcelona.htm?id=7992681,38500
4,Mercedes,Clase A,A 45 S Amg 4matic+ 8g-dct,2024,01,NUEVO,Gasolina,422 CV,automática secuencial,5 puertas,blanco digital,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-barcelona.htm?id=7975955,98000
5,Mercedes,Clase A,A 180d 7g-dct,2021,07,38.759 km,Diesel,116 CV,automática secuencial,5 puertas,Azul denim metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-salamanca.htm?id=7821797,29900
6,Mercedes,Clase A,A 220d 8g-dct,2020,12,19.000 km,Diesel,190 CV,automática secuencial,5 puertas,Rojo Patagonia,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-220d-8g-dct-en-asturias.htm?id=7340363,44900
7,Mercedes,Clase A,A 200d 8g-dct,2019,12,56.366 km,Diesel,150 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-8g-dct-en-barcelona.htm?id=8090880,29690
8,Mercedes,Clase A,A 180d Sedán 7g-dct,2019,,155.000 km,Diesel,116 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-sedan-7g-dct-en-sevilla.htm?id=7894312,24990
9,Mercedes,Clase A,A 200d 8g-dct,2019,,62.433 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-8g-dct-en-albacete.htm?id=8046477,28500
10,Mercedes,Clase A,A 180d,2016,,25.000 km,Diesel,109 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-zamora.htm?id=8042249,22990
11,Mercedes,Clase A,A 45 S Amg 4matic+ 8g-dct,2019,,39.000 km,Gasolina,422 CV,automática secuencial,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-sevilla.htm?id=8112659,57900
12,Mercedes,Clase A,A 220d 8g-dct,2020,,99.998 km,Diesel,190 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-220d-8g-dct-en-madrid.htm?id=8101084,27490
13,Mercedes,Clase A,A 45 S Amg 4matic+ 8g-dct,2021,,98.000 km,Gasolina,422 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-sevilla.htm?id=8083167,51990
14,Mercedes,Clase A,A 250 Be Style 7g-dct,2013,04,104.000 km,Gasolina,211 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-250-be-style-7g-dct-en-barcelona.htm?id=8065522,16499
15,Mercedes,Clase A,A 200d 8g-dct,2019,,198.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-8g-dct-en-malaga.htm?id=8097912,19999
16,Mercedes,Clase A,A 200d Sedán 8g-dct,2023,,NUEVO,Diesel,150 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-sedan-8g-dct-en-alava.htm?id=8095273,39990
17,Mercedes,Clase A,A 45 S Amg 4matic+ 8g-dct,2020,,37.142 km,Gasolina,422 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-madrid.htm?id=8087767,59990
18,Mercedes,Clase A,A 250e 8g-dct,2022,11,3.181 km,Híbrido,218 CV,automática secuencial,4 puertas,AZUL,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-250e-8g-dct-en-barcelona.htm?id=8030293,41500
19,Mercedes,Clase A,A 180d 7g-dct,2019,,109.609 km,Diesel,116 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-murcia.htm?id=8113730,21900
20,Mercedes,Clase A,A 180d 7g-dct,2019,,84.796 km,Diesel,116 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-murcia.htm?id=8113726,22900
21,Mercedes,Clase A,A 200d,2016,,69.000 km,Diesel,136 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-en-palmas+las.htm?id=8104355,18950
22,Mercedes,Clase A,A 180cdi,2005,,166.000 km,Diesel,109 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180cdi-en-valencia.htm?id=8101184,4500
23,Mercedes,Clase A,A 250e 8g-dct,2023,,NUEVO,Híbrido,218 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-250e-8g-dct-en-alava.htm?id=8095653,45590
24,Mercedes,Clase A,A 200d 7g-dct,2016,,92.500 km,Diesel,136 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-7g-dct-en-madrid.htm?id=8072621,18990
25,Mercedes,Clase A,A 150,2005,,117.000 km,Gasolina,95 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-150-en-madrid.htm?id=8040133,3900
26,Mercedes,Clase A,A 180d 8g-dct,2020,07,98.721 km,Diesel,116 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-8g-dct-en-madrid.htm?id=8028729,22300
27,Mercedes,Clase A,A 180d,2019,01,115.000 km,Diesel,116 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-sevilla.htm?id=8006482,19998
28,Mercedes,Clase A,A 180d,2017,,110.000 km,Diesel,109 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-sevilla.htm?id=8125688,17900
29,Mercedes,Clase A,A 180d 7g-dct,2016,,24.000 km,Diesel,109 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-7g-dct-en-alicante.htm?id=8123692,19999
30,Mercedes,Clase A,A 180cdi,2005,,211.000 km,Diesel,109 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180cdi-en-malaga.htm?id=8106696,4290
31,Mercedes,Clase A,A 200cdi Be Urban 7g-dct,2014,04,110.176 km,Diesel,136 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200cdi-be-urban-7g-dct-en-toledo.htm?id=8106251,16799
32,Mercedes,Clase A,A 200d 4matic 8g-dct,2019,,73.000 km,Diesel,150 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-4matic-8g-dct-en-palmas+las.htm?id=8104352,26950
33,Mercedes,Clase A,A 200 Sedán 7g-dct,2020,08,43.455 km,Gasolina,163 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200-sedan-7g-dct-en-toledo.htm?id=8097663,29299
34,Mercedes,Clase A,A 200d 8g-dct,2023,03,7.272 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-8g-dct-en-madrid.htm?id=8097080,36990
35,Mercedes,Clase A,A 200cdi Be Amg Line 7g-dct,2013,08,233.000 km,Diesel,136 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200cdi-be-amg-line-7g-dct-en-barcelona.htm?id=8095056,12999
36,Mercedes,Clase A,A 200d 8g-dct,2022,,10.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-8g-dct-en-valencia.htm?id=8084675,33900
37,Mercedes,Clase A,A 180d 8g-dct,2023,,12 km,Diesel,116 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-180d-8g-dct-en-valencia.htm?id=8083082,35900
38,Mercedes,Clase A,A 200d Sedán 8g-dct,2022,,17.974 km,Diesel,150 CV,automática secuencial,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-sedan-8g-dct-en-barcelona.htm?id=8066995,33990
39,Mercedes,Clase A,A 200d 8g-dct,2023,02,10.169 km,Diesel,150 CV,automática secuencial,5 puertas,Plata iridio metalizado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200d-8g-dct-en-madrid.htm?id=8050754,36990
40,Mercedes,Clase A,A 250e Sedán 8g-dct,2022,12,13.785 km,Híbrido,218 CV,automática secuencial,4 puertas,Blanco polar,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-250e-sedan-8g-dct-en-madrid.htm?id=8049867,36990
41,Mercedes,Clase A,A 200d 8g-dct,2023,03,6.315 km,Diesel,150 CV,automática secuencial,5 puertas,Plata iridio metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-8g-dct-en-madrid.htm?id=8049833,36990
42,Mercedes,Clase A,A 200d 8g-dct,2023,03,6.853 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-8g-dct-en-madrid.htm?id=8049832,36990
43,Mercedes,Clase A,A 45 S Amg 4matic+ 8g-dct,2020,10,37.500 km,Gasolina,422 CV,automática secuencial,5 puertas,AMARILLO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-45-s-amg-4matic+-8g-dct-en-barcelona.htm?id=8028125,61900
44,Mercedes,Clase A,A 250e 8g-dct,2022,11,4.600 km,Híbrido,218 CV,automática secuencial,4 puertas,GRIS,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-250e-8g-dct-en-barcelona.htm?id=8027825,41900
45,Mercedes,Clase A,A 250e 8g-dct,2021,01,95.626 km,Híbrido,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-250e-8g-dct-en-sevilla.htm?id=8013107,29890
46,Mercedes,Clase A,A 250e 8g-dct,2021,01,95.626 km,Híbrido,218 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-250e-8g-dct-en-madrid.htm?id=8013104,29890
47,Mercedes,Clase A,A 200d 8g-dct,2023,03,8.455 km,Diesel,150 CV,automática secuencial,5 puertas,Gris Montaña metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+a-a-200d-8g-dct-en-madrid.htm?id=8013094,36990
48,Mercedes,Clase A,A 200 7g-dct,2019,,53.300 km,Gasolina,163 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200-7g-dct-en-madrid.htm?id=7978014,27990
49,Mercedes,Clase A,A 180 7g-dct,2020,,36.700 km,Gasolina,136 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180-7g-dct-en-huelva.htm?id=7909117,28900
50,Mercedes,Clase A,A 180d,2017,10,125.270 km,Diesel,109 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-180d-en-malaga.htm?id=7896468,16900
51,Mercedes,Clase A,A 200 7g-dct,2021,,47.400 km,Gasolina,163 CV,automática secuencial,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+a-a-200-7g-dct-en-barcelona.htm?id=7712468,30500
