,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2021,11,29.322 km,Gasolina,585 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-cordoba.htm?id=8004408,230000
1,Mercedes,Clase G,G 500 4matic 9g-tronic,2023,,900 km,Gasolina,422 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-500-4matic-9g-tronic-en-barcelona.htm?id=8023896,204900
2,Mercedes,Clase G,300 Gd Sw Corto,1989,,22.718 km,Diesel,88 CV,manual,3 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-300-gd-sw-corto-en-malaga.htm?id=8035423,20000
3,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2022,,57.000 km,Gasolina,585 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-sevilla.htm?id=8128865,209990
4,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,2.700 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8114144,259900
5,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,900 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8037122,438900
6,Mercedes,Clase G,G 55 Amg Largo Aut.,2011,07,110.000 km,Gasolina,507 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-55-amg-largo-aut-en-sevilla.htm?id=8034283,64990
7,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,1.900 km,Gasolina,585 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8023876,376900
8,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,4.900 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8023864,239900
9,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2020,01,139.000 km,Gasolina,585 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-ciudad+real.htm?id=8012416,179990
10,Mercedes,Clase G,G 500 4x4,2016,,17.000 km,Gasolina,422 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-500-4x4-en-granada.htm?id=7947974,159990
11,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2020,07,59.372 km,Gasolina,585 CV,automática secuencial,5 puertas,Platino (designo manuf. magno),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-madrid.htm?id=7861659,199990
12,Mercedes,Clase G,G 55 Amg Largo Aut.,2008,01,72.000 km,Gasolina,507 CV,automática,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-55-amg-largo-aut-en-barcelona.htm?id=7290520,79900
13,Mercedes,Clase G,300 Ge Capota,1990,11,236.000 km,Gasolina,170 CV,manual,3 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-300-ge-capota-en-lugo.htm?id=7599593,24900
14,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2022,,50 km,Gasolina,585 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-malaga.htm?id=7957981,249950
15,Mercedes,Clase G,G 350d Aut.,2017,,70.000 km,Diesel,245 CV,automática,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-350d-aut-en-almeria.htm?id=7987734,92000
16,Mercedes,Clase G,G 350 D 4matic 9g-tronic,2019,,71.000 km,Diesel,286 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-350-d-4matic-9g-tronic-en-barcelona.htm?id=7958470,140000
17,Mercedes,Clase G,G 270 Cdi Sw Corto Aut.,2003,,300.000 km,Diesel,156 CV,automática,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-270-cdi-sw-corto-aut-en-palmas+las.htm?id=7882217,51500
18,Mercedes,Clase G,350 Gd Turbo Sw Corto,1992,,260.000 km,Diesel,136 CV,manual,3 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-350-gd-turbo-sw-corto-en-almeria.htm?id=7375223,25000
19,Mercedes,Clase G,G 500 4x4,2016,01,80.448 km,Gasolina,422 CV,automática secuencial,5 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-500-4x4-en-madrid.htm?id=8125618,95000
20,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2019,08,64.180 km,Gasolina,585 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-sevilla.htm?id=8116836,199900
21,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2019,01,68.155 km,Gasolina,585 CV,automática secuencial,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-madrid.htm?id=8110564,189990
22,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2019,02,77.000 km,Gasolina,585 CV,automática secuencial,5 puertas,Gris Magno,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-salamanca.htm?id=8091985,207000
23,Mercedes,Clase G,G 63 Amg Largo Aut.,2016,03,84.781 km,Gasolina,544 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-largo-aut-en-barcelona.htm?id=8043277,118100
24,Mercedes,Clase G,G 350d Aut.,2017,04,92.665 km,Diesel,245 CV,automática,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-350d-aut-en-barcelona.htm?id=7987370,93300
25,Mercedes,Clase G,G 65 Amg Largo Aut.,2013,01,42.568 km,Gasolina,612 CV,automática secuencial,5 puertas,GRIS ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-65-amg-largo-aut-en-madrid.htm?id=7977635,149990
26,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2021,07,21.100 km,Gasolina,585 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-alicante.htm?id=7958542,230500
27,Mercedes,Clase G,G 350bluetec Largo Aut.,2014,06,171.983 km,Diesel,211 CV,automática,5 puertas,PLATA ,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-350bluetec-largo-aut-en-madrid.htm?id=7865732,62500
28,Mercedes,Clase G,G 63 Amg Largo Aut.,2014,09,57.206 km,Gasolina,544 CV,automática secuencial,5 puertas,DESIGNO NEGRO PLATINO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-largo-aut-en-cadiz.htm?id=7767318,91500
29,Mercedes,Clase G,G 270 Cdi Sw Largo Aut.,2003,06,249.000 km,Diesel,156 CV,automática,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-270-cdi-sw-largo-aut-en-cordoba.htm?id=7294757,37900
30,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2021,11,29.322 km,Gasolina,585 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-cordoba.htm?id=8004408,230000
31,Mercedes,Clase G,G 500 4matic 9g-tronic,2023,,900 km,Gasolina,422 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-500-4matic-9g-tronic-en-barcelona.htm?id=8023896,204900
32,Mercedes,Clase G,300 Gd Sw Corto,1989,,22.718 km,Diesel,88 CV,manual,3 puertas,verde,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-300-gd-sw-corto-en-malaga.htm?id=8035423,20000
33,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2022,,57.000 km,Gasolina,585 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-sevilla.htm?id=8128865,209990
34,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,2.700 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8114144,259900
35,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,900 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8037122,438900
36,Mercedes,Clase G,G 55 Amg Largo Aut.,2011,07,110.000 km,Gasolina,507 CV,automática,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-55-amg-largo-aut-en-sevilla.htm?id=8034283,64990
37,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,1.900 km,Gasolina,585 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8023876,376900
38,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2023,,4.900 km,Gasolina,585 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-barcelona.htm?id=8023864,239900
39,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2020,01,139.000 km,Gasolina,585 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-ciudad+real.htm?id=8012416,179990
40,Mercedes,Clase G,G 500 4x4,2016,,17.000 km,Gasolina,422 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-500-4x4-en-granada.htm?id=7947974,159990
41,Mercedes,Clase G,G 63 Amg 4matic 9g-tronic,2020,07,59.372 km,Gasolina,585 CV,automática secuencial,5 puertas,Platino (designo manuf. magno),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-63-amg-4matic-9g-tronic-en-madrid.htm?id=7861659,199990
42,Mercedes,Clase G,G 55 Amg Largo Aut.,2008,01,72.000 km,Gasolina,507 CV,automática,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-g-55-amg-largo-aut-en-barcelona.htm?id=7290520,79900
43,Mercedes,Clase G,300 Ge Capota,1990,11,236.000 km,Gasolina,170 CV,manual,3 puertas,VERDE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+g-300-ge-capota-en-lugo.htm?id=7599593,24900
