,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2019,,87.000 km,Diesel,258 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-valencia.htm?id=8091902,64900
1,Mercedes,Clase Gls,Gls 400d 4matic,2020,01,74.983 km,Diesel,330 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400d-4matic-en-sevilla.htm?id=7967857,98890
2,Mercedes,Clase Gls,Gls 400d 4matic,2020,01,74.983 km,Diesel,330 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400d-4matic-en-madrid.htm?id=7967853,98890
3,Mercedes,Clase Gls,Gls 400d 4matic,2020,01,74.983 km,Diesel,330 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400d-4matic-en-malaga.htm?id=7966574,98890
4,Mercedes,Clase Gls,Gls 400d 4matic,2021,,99.400 km,Diesel,330 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400d-4matic-en-granada.htm?id=7735092,98500
5,Mercedes,Clase Gls,Gls 400 4matic Aut.,2017,12,177.000 km,Gasolina,333 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400-4matic-aut-en-jaen.htm?id=8000118,43999
6,Mercedes,Clase Gls,Gls 500 4matic Aut.,2018,07,55.925 km,Gasolina,455 CV,automática secuencial,5 puertas,NEGRO OBSIDIANA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-500-4matic-aut-en-jaen.htm?id=7774386,76990
7,Mercedes,Clase Gls,Gls 500 4matic Aut.,2016,,105.767 km,Gasolina,455 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-500-4matic-aut-en-madrid.htm?id=8116998,69990
8,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2016,,175.000 km,Diesel,258 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-malaga.htm?id=7657603,48500
9,Mercedes,Clase Gls,Gls 400 4matic Aut.,2016,03,140.500 km,Gasolina,333 CV,automática secuencial,5 puertas,Plata Iridio (metalizado),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-400-4matic-aut-en-madrid.htm?id=8024527,54990
10,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2018,,68.000 km,Diesel,258 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-madrid.htm?id=8097526,42980
11,Mercedes,Clase Gls,Gls 350d 4matic,2020,,43.000 km,Diesel,286 CV,automática secuencial,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-en-coruna+a.htm?id=7666665,85350
12,Mercedes,Clase Gls,Gls 350d 4matic (14.75),2019,,180.000 km,Diesel,286 CV,automática secuencial,5 puertas,blanco perla,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-1475-en-barcelona.htm?id=8095197,48000
13,Mercedes,Clase Gls,Mercedes-maybach Gls 600 4matic,2023,12,43 km,Gasolina,557 CV,automática secuencial,5 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+gls-mercedes-maybach-gls-600-4matic-en-asturias.htm?id=8114892,240345
14,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2019,03,12.157 km,Diesel,258 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-valencia.htm?id=8097014,96788
15,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2017,06,139.620 km,Diesel,258 CV,automática secuencial,5 puertas,BLANCO DIAMANTE,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-cadiz.htm?id=8078513,55900
16,Mercedes,Clase Gls,Gls 350d 4matic,2023,11,NUEVO,Diesel,286 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+gls-gls-350d-4matic-en-madrid.htm?id=8078024,109574
17,Mercedes,Clase Gls,Gls 350d 4matic Aut.,2020,01,69.734 km,Diesel,258 CV,automática secuencial,5 puertas,Plata iridio,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+gls-gls-350d-4matic-aut-en-murcia.htm?id=8070677,95900
18,Mercedes,Clase Gls,Mercedes-maybach Gls 600 4matic,2023,09,2 km,Gasolina,557 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+gls-mercedes-maybach-gls-600-4matic-en-madrid.htm?id=8037812,239000
