,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase Slk,Slk 200k,2008,,127.800 km,Gasolina,163 CV,automática,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-lugo.htm?id=8098171,14900
1,Mercedes,Clase Slk,Slk 250 Cdi Be Amg Line,2014,10,46.125 km,Diesel,204 CV,manual,2 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-250-cdi-be-amg-line-en-toledo.htm?id=8068608,23399
2,Mercedes,Clase Slk,Slk 200k,2005,,85.290 km,Gasolina,163 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-malaga.htm?id=8002220,13490
3,Mercedes,Clase Slk,Slk 200 Be 7g Plus,2012,,118.850 km,Gasolina,184 CV,automática secuencial,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-be-7g-plus-en-alicante.htm?id=8114017,24900
4,Mercedes,Clase Slk,Slk 230 K,1998,,128.000 km,Gasolina,193 CV,automática,2 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-230-k-en-badajoz.htm?id=7223742,5900
5,Mercedes,Clase Slk,Slk 200k,2006,,147.350 km,Gasolina,163 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-alicante.htm?id=8113937,12900
6,Mercedes,Clase Slk,Slk 200k,2007,,140.000 km,Gasolina,163 CV,automática,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-ciudad+real.htm?id=7999025,12990
7,Mercedes,Clase Slk,Slk 200,2000,01,180.000 km,Gasolina,136 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-en-valencia.htm?id=7978188,7990
8,Mercedes,Clase Slk,Slk 350,2005,10,308.000 km,Gasolina,272 CV,manual,2 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-350-en-madrid.htm?id=7921279,11900
9,Mercedes,Clase Slk,Slk 200 K,2011,03,77.500 km,Gasolina,184 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-k-en-madrid.htm?id=7902071,22450
10,Mercedes,Clase Slk,Slk 200k,2005,,165.600 km,Gasolina,163 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-alicante.htm?id=7864240,11500
11,Mercedes,Clase Slk,Slk 200k,2006,,261.000 km,Gasolina,163 CV,automática,2 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-salamanca.htm?id=7742357,10999
12,Mercedes,Clase Slk,Slk 200k,2006,,130.000 km,Gasolina,163 CV,manual,2 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-palmas+las.htm?id=7471634,12990
13,Mercedes,Clase Slk,Slk 230 K,1999,,160.000 km,Gasolina,193 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-230-k-en-girona.htm?id=8081981,4500
14,Mercedes,Clase Slk,Slk 280,2007,,160.000 km,Gasolina,231 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-280-en-alicante.htm?id=8102169,10500
15,Mercedes,Clase Slk,Slk 200,1997,,199.000 km,Gasolina,136 CV,manual,2 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-en-pontevedra.htm?id=7277628,3600
16,Mercedes,Clase Slk,Slk 200 Be Edition 1,2012,,1.500.000 km,Gasolina,184 CV,manual,2 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-be-edition-1-en-alicante.htm?id=8060857,21500
17,Mercedes,Clase Slk,Slk 350 7g Plus,2013,,56.000 km,Gasolina,306 CV,automática secuencial,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-350-7g-plus-en-madrid.htm?id=7967350,24000
18,Mercedes,Clase Slk,Slk 200k,2007,,200.000 km,Gasolina,163 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-madrid.htm?id=8090238,11500
19,Mercedes,Clase Slk,Slk 200k,2004,,194.000 km,Gasolina,163 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-madrid.htm?id=8008226,7500
20,Mercedes,Clase Slk,Slk 200 K,2009,,170.000 km,Gasolina,184 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-k-en-valencia.htm?id=7969783,13500
21,Mercedes,Clase Slk,Slk 280,2007,,215.000 km,Gasolina,231 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-280-en-madrid.htm?id=7949216,9500
22,Mercedes,Clase Slk,Slk 200 Kompressor,2001,,142.000 km,Gasolina,163 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-kompressor-en-tarragona.htm?id=7924173,7500
23,Mercedes,Clase Slk,Slk 200k,2005,,197.400 km,Gasolina,163 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-toledo.htm?id=7666729,8850
24,Mercedes,Clase Slk,Slk 200 Kompressor,2003,,78.620 km,Gasolina,163 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-kompressor-en-malaga.htm?id=7944930,6990
25,Mercedes,Clase Slk,Slk 200 Kompressor,2003,,205.000 km,Gasolina,163 CV,manual,2 puertas,Bordo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-kompressor-en-malaga.htm?id=7941650,7000
26,Mercedes,Clase Slk,Slk 200k,2005,,210.000 km,Gasolina,163 CV,automática,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-madrid.htm?id=7811969,9900
27,Mercedes,Clase Slk,Slk 200,1998,,160.000 km,Gasolina,136 CV,manual,2 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-en-navarra.htm?id=7790249,5000
28,Mercedes,Clase Slk,Slk 200k,2005,,180.000 km,Gasolina,163 CV,manual,2 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-almeria.htm?id=8075902,15500
29,Mercedes,Clase Slk,Slk 280,2006,,207.906 km,Gasolina,231 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-280-en-granada.htm?id=7947820,14000
30,Mercedes,Clase Slk,Slk 230 Kompressor,2001,,225.000 km,Gasolina,197 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-230-kompressor-en-tenerife.htm?id=7943261,7900
31,Mercedes,Clase Slk,Slk 200,1999,,210.000 km,Gasolina,136 CV,manual,2 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200-en-madrid.htm?id=7674655,4000
32,Mercedes,Clase Slk,Slk 200k,2007,,34.000 km,Gasolina,163 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+slk-slk-200k-en-huelva.htm?id=7649923,13960
