,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase T,180d 7g-dct,2022,06,4.900 km,Diesel,116 CV,automática secuencial,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-7g-dct-en-barcelona.htm?id=8060949,34690
1,Mercedes,Clase T,180d,2022,11,4.125 km,Diesel,116 CV,manual,5 puertas,Plata helvin metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-en-valladolid.htm?id=7939045,32900
2,Mercedes,Clase T,180d 7g-dct,2023,05,6 km,Diesel,116 CV,automática secuencial,5 puertas,Plata Iridio,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-7g-dct-en-rioja+la.htm?id=7810617,31900
3,Mercedes,Clase T,180d 7g-dct,2022,10,14.000 km,Diesel,116 CV,automática secuencial,5 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+t-180d-7g-dct-en-sevilla.htm?id=7643667,35690
4,Mercedes,Clase T,180d 7g-dct,2024,01,NUEVO,Diesel,116 CV,automática secuencial,5 puertas,Negro Loparita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-7g-dct-en-barcelona.htm?id=8077317,32959
5,Mercedes,Clase T,180d 7g-dct,2022,07,20.500 km,Diesel,116 CV,automática secuencial,5 puertas,Rojo Rubelita,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+t-180d-7g-dct-en-huelva.htm?id=8106994,37000
6,Mercedes,Clase T,180d,2023,05,5.480 km,Diesel,116 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-en-madrid.htm?id=8096670,31600
7,Mercedes,Clase T,180d,2023,02,15.000 km,Diesel,116 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+t-180d-en-barcelona.htm?id=8084343,25599
8,Mercedes,Clase T,180d 7g-dct,2024,01,0 km,Diesel,116 CV,automática secuencial,5 puertas,Negro Loparita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-7g-dct-en-barcelona.htm?id=8077855,32959
9,Mercedes,Clase T,180d 7g-dct,2022,06,4.900 km,Diesel,116 CV,automática secuencial,5 puertas,Gris plata,Profesional,https://www.coches.com/km0/seminuevo-mercedes-clase+t-180d-7g-dct-en-tarragona.htm?id=8045471,39649
