,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Clase X,X 250d Progressive,2019,01,66.776 km,Diesel,190 CV,manual,4 puertas,BLANCO CHISANA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-progressive-en-barcelona.htm?id=8000502,34500
1,Mercedes,Clase X,X 220d Pure 4matic,2020,,64.000 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-220d-pure-4matic-en-malaga.htm?id=8086863,33900
2,Mercedes,Clase X,X 350d Progressive 4matic Aut.,2020,,159.950 km,Diesel,258 CV,automática secuencial,4 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-progressive-4matic-aut-en-madrid.htm?id=7969985,39990
3,Mercedes,Clase X,X 250d Progressive Aut.,2019,05,93.810 km,Diesel,190 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-progressive-aut-en-palmas+las.htm?id=7965844,35995
4,Mercedes,Clase X,X 350d Progressive 4matic Aut.,2020,01,50.000 km,Diesel,258 CV,automática secuencial,4 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-progressive-4matic-aut-en-sevilla.htm?id=7848194,60000
5,Mercedes,Clase X,X 220d Pure 4matic,2020,,64.000 km,Diesel,163 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-220d-pure-4matic-en-malaga.htm?id=7691783,36450
6,Mercedes,Clase X,X 350d Progressive 4matic Aut.,2020,,49.000 km,Diesel,258 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-progressive-4matic-aut-en-coruna+a.htm?id=8060844,54999
7,Mercedes,Clase X,X 350d Power 4matic Aut.,2019,,90.000 km,Diesel,258 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-power-4matic-aut-en-barcelona.htm?id=8031976,40000
8,Mercedes,Clase X,X 250d Progressive Aut.,2019,,48.000 km,Diesel,190 CV,automática secuencial,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-progressive-aut-en-segovia.htm?id=7829112,29900
9,Mercedes,Clase X,X 350d Progressive 4matic Aut.,2019,08,66.232 km,Diesel,258 CV,automática secuencial,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-progressive-4matic-aut-en-sevilla.htm?id=8116579,41499
10,Mercedes,Clase X,X 250d Pure 4matic,2018,03,157.368 km,Diesel,190 CV,manual,4 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-pure-4matic-en-madrid.htm?id=8114453,35990
11,Mercedes,Clase X,X 350d Progressive 4matic Aut.,2018,06,130.000 km,Diesel,258 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-progressive-4matic-aut-en-madrid.htm?id=8109398,39990
12,Mercedes,Clase X,X 250d Pure 4matic,2020,01,64.000 km,Diesel,190 CV,manual,4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-pure-4matic-en-madrid.htm?id=8106458,35990
13,Mercedes,Clase X,X 350d Power 4matic Aut.,2019,08,72.702 km,Diesel,258 CV,automática secuencial,4 puertas,KABARASCHWARZ METALLIC,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-power-4matic-aut-en-tenerife.htm?id=8092484,44900
14,Mercedes,Clase X,X 250d Pure 4matic,2018,08,58.300 km,Diesel,190 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-pure-4matic-en-alicante.htm?id=8078083,37999
15,Mercedes,Clase X,X 350d Power 4matic Aut.,2020,05,130.000 km,Diesel,258 CV,automática secuencial,4 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-350d-power-4matic-aut-en-madrid.htm?id=8052575,39990
16,Mercedes,Clase X,X 250d Pure 4matic,2019,11,67.044 km,Diesel,190 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-pure-4matic-en-madrid.htm?id=8030358,36990
17,Mercedes,Clase X,X 250d Progressive Aut.,2018,12,75.000 km,Diesel,190 CV,automática secuencial,4 puertas,ROJO DANAKILROT,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-250d-progressive-aut-en-barcelona.htm?id=7965425,36900
18,Mercedes,Clase X,X 220d Pure 4matic,2018,04,74.418 km,Diesel,163 CV,manual,4 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mercedes-clase+x-x-220d-pure-4matic-en-madrid.htm?id=7953933,32490
