,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-jaen.htm?id=7738614,121900
1,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,8.888 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Verde Esmeralda (metalizado),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-madrid.htm?id=8069551,129990
2,Mercedes,Eqs Suv,Eqs 580 4matic,2023,07,3.000 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,azul sodalita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-barcelona.htm?id=8080511,159000
3,Mercedes,Eqs Suv,Eqs 450 4matic,2023,09,8.888 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar (estándar),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=8071345,116990
4,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris selenita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=8043971,133900
5,Mercedes,Eqs Suv,Eqs 580 4matic,2023,,NUEVO,Eléctrico,544 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alava.htm?id=8031891,138000
6,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=7991454,135900
7,Mercedes,Eqs Suv,Eqs 450 4matic,2023,04,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=7978861,147523
8,Mercedes,Eqs Suv,Eqs 580 4matic,2023,06,NUEVO,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Azul sodalita metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-barcelona.htm?id=7967505,140000
9,Mercedes,Eqs Suv,Eqs 450 4matic,2023,06,2.174 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,AZUL SODALITA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-cadiz.htm?id=7920636,124900
10,Mercedes,Eqs Suv,Eqs 450 4matic,2023,06,5.000 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-sevilla.htm?id=7902326,129400
11,Mercedes,Eqs Suv,Eqs 580 4matic,2023,04,1 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-valencia.htm?id=7762529,172639
12,Mercedes,Eqs Suv,Eqs 450 4matic,2023,04,1 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-valencia.htm?id=7761590,160730
13,Mercedes,Eqs Suv,Eqs 450 4matic,2023,09,8.888 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar (estándar),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=8069554,116990
14,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,20 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alicante.htm?id=8079154,123545
15,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,NUEVO,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alicante.htm?id=8078199,123545
16,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,100 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Gris selenita metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-toledo.htm?id=8066167,128500
17,Mercedes,Eqs Suv,Eqs 580 4matic,2023,08,40 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-tarragona.htm?id=8044465,178000
18,Mercedes,Eqs Suv,Eqs 580 4matic,2023,08,40 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-tarragona.htm?id=8043948,178000
19,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,100 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris selenita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=8043497,133900
20,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,50 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=7991161,135900
21,Mercedes,Eqs Suv,Eqs 450 4matic,2024,01,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris Selenita Metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=7966736,167012
22,Mercedes,Eqs Suv,Eqs 450 4matic,2024,01,0 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris Selenita Metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=7965429,167012
23,Mercedes,Eqs Suv,Eqs 450 4matic,2024,01,0 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,GRIS SELENITA METALIZADO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-valencia.htm?id=7898743,167784
24,Mercedes,Eqs Suv,Eqs 450 4matic,2024,01,0 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,GRIS SELENITA METALIZADO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-valencia.htm?id=7896543,166011
25,Mercedes,Eqs Suv,Eqs 450 4matic,2024,01,0 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,AZUL SODALITA METALIZADO,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-valencia.htm?id=7896541,168277
26,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,10 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-jaen.htm?id=7738102,121900
27,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-jaen.htm?id=7738614,121900
28,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,8.888 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Verde Esmeralda (metalizado),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-madrid.htm?id=8069551,129990
29,Mercedes,Eqs Suv,Eqs 580 4matic,2023,07,3.000 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,azul sodalita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-barcelona.htm?id=8080511,159000
30,Mercedes,Eqs Suv,Eqs 450 4matic,2023,09,8.888 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar (estándar),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=8071345,116990
31,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris selenita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=8043971,133900
32,Mercedes,Eqs Suv,Eqs 580 4matic,2023,,NUEVO,Eléctrico,544 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alava.htm?id=8031891,138000
33,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Negro Obsidiana,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=7991454,135900
34,Mercedes,Eqs Suv,Eqs 450 4matic,2023,04,NUEVO,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=7978861,147523
35,Mercedes,Eqs Suv,Eqs 580 4matic,2023,06,NUEVO,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Azul sodalita metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-barcelona.htm?id=7967505,140000
36,Mercedes,Eqs Suv,Eqs 450 4matic,2023,06,2.174 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,AZUL SODALITA,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-cadiz.htm?id=7920636,124900
37,Mercedes,Eqs Suv,Eqs 450 4matic,2023,06,5.000 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-sevilla.htm?id=7902326,129400
38,Mercedes,Eqs Suv,Eqs 580 4matic,2023,04,1 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-valencia.htm?id=7762529,172639
39,Mercedes,Eqs Suv,Eqs 450 4matic,2023,04,1 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-valencia.htm?id=7761590,160730
40,Mercedes,Eqs Suv,Eqs 450 4matic,2023,09,8.888 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Blanco Polar (estándar),Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-madrid.htm?id=8069554,116990
41,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,20 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alicante.htm?id=8079154,123545
42,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,NUEVO,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Negro obsidiana metalizad,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-alicante.htm?id=8078199,123545
43,Mercedes,Eqs Suv,Eqs 580 4matic,2023,09,100 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Gris selenita metalizado,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-toledo.htm?id=8066167,128500
44,Mercedes,Eqs Suv,Eqs 580 4matic,2023,08,40 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-tarragona.htm?id=8044465,178000
45,Mercedes,Eqs Suv,Eqs 580 4matic,2023,08,40 km,Eléctrico,544 CV,"directo, sin caja de cambios",5 puertas,Blanco polar,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-580-4matic-en-tarragona.htm?id=8043948,178000
46,Mercedes,Eqs Suv,Eqs 450 4matic,2023,08,100 km,Eléctrico,360 CV,"directo, sin caja de cambios",5 puertas,Gris selenita,Profesional,https://www.coches.com/km0/seminuevo-mercedes-eqs+suv-eqs-450-4matic-en-barcelona.htm?id=8043497,133900
