,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Mitsubishi,L200,2.5di-d Double Cab Motion,2017,,106.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-motion-en-alicante.htm?id=8088072,20500
1,Mitsubishi,L200,2.5di-d Double Cab M-pro,2017,,64.691 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-navarra.htm?id=8082241,20990
2,Mitsubishi,L200,2.5di-d Double Cab M-pro,2018,,120.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-ciudad+real.htm?id=8007129,20490
3,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,,110.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-ciudad+real.htm?id=7722749,21490
4,Mitsubishi,L200,2.2di-d Doble Cabina 6at M-pro,2020,,150.711 km,Diesel,150 CV,automática secuencial,4 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-22di-d-doble-cabina-6at-m-pro-en-ciudad+real.htm?id=8091750,25900
5,Mitsubishi,L200,2.2di-d Doble Cabina 6at M-pro,2020,,85.000 km,Diesel,150 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-22di-d-doble-cabina-6at-m-pro-en-palmas+las.htm?id=8042619,31900
6,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,09,179.000 km,Diesel,154 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-vizcaya.htm?id=8011826,16500
7,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,10,243.000 km,Diesel,154 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-vizcaya.htm?id=8010739,15695
8,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,11,157.000 km,Diesel,154 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-vizcaya.htm?id=7912875,18100
9,Mitsubishi,L200,2.5di-d Double Cab Motion,2019,,142.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-motion-en-badajoz.htm?id=8122737,23900
10,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,,190.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-badajoz.htm?id=8013832,21900
11,Mitsubishi,L200,2.5di-d Double Cab M-pro,2017,,117.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-huelva.htm?id=7719096,21600
12,Mitsubishi,L200,2.5di-d Double Cab M-pro,2017,10,52.000 km,Diesel,154 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-cadiz.htm?id=7864573,20990
13,Mitsubishi,L200,2.2di-d Doble Cabina 6at M-pro,2020,09,185.000 km,Diesel,150 CV,automática secuencial,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-22di-d-doble-cabina-6at-m-pro-en-cordoba.htm?id=7833529,20250
14,Mitsubishi,L200,2.5di-d Double Cab M-pro,2019,,84.000 km,Diesel,154 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-cordoba.htm?id=7689044,24490
15,Mitsubishi,L200,2.5di-d Single Cab M-pro,2015,08,130.000 km,Diesel,136 CV,manual,2 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-single-cab-m-pro-en-cordoba.htm?id=6202915,18800
16,Mitsubishi,L200,2.5di-d Double Cab M-pro,2016,08,123.000 km,Diesel,154 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-m-pro-en-cordoba.htm?id=6202807,20500
17,Mitsubishi,L200,2.5di-d Double Cab Kaiteki 5at,2018,,78.000 km,Diesel,181 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-kaiteki-5at-en-barcelona.htm?id=8125119,17620
18,Mitsubishi,L200,2.5di-d Double Cab Challenge,2011,,360.000 km,Diesel,136 CV,manual,4 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-25di-d-double-cab-challenge-en-toledo.htm?id=8129278,7500
19,Mitsubishi,L200,Club Cab 2.5tdi Invite 4x4,2005,,242.833 km,Diesel,115 CV,manual,2 puertas,plateado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-mitsubishi-l200-club-cab-25tdi-invite-4x4-en-tenerife.htm?id=7938732,9800
