,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Ariya,Evolve 87 Kwh 4x2,2022,08,5.670 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,AURORA GREEN AZUL,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-valencia.htm?id=7817057,48900
1,Nissan,Ariya,Evolve 63 Kwh 4x2,2022,12,2.210 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,KATANA GREY AZUL,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-valencia.htm?id=7892693,46900
2,Nissan,Ariya,Evolve 63 Kwh 4x2,2022,12,52 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,KATANA GREY AZUL,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-valencia.htm?id=7817123,46900
3,Nissan,Ariya,Evolve 63 Kwh 4x2,2022,09,7.875 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,AKATSUKI COPPER + NINJA BLACK,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-valencia.htm?id=7817098,46900
4,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,01,10.074 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,NEGRO METALIZADO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-ariya-evolve-87-kwh-4x2-en-vizcaya.htm?id=8110788,53650
5,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,03,3.608 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Gris Plata,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-valencia.htm?id=7883360,51959
6,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,04,725 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-barcelona.htm?id=7851035,50900
7,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,03,9.495 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-barcelona.htm?id=8046028,52995
8,Nissan,Ariya,Evolve 87 Kwh 4x2,2022,09,7.070 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,AKATSUKI COPPER + NINJA BLACK,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-badajoz.htm?id=8038899,56900
9,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,08,10 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Burdeos,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-pontevedra.htm?id=7940762,52760
10,Nissan,Ariya,Advance 63 Kwh 4x2,2022,01,1 km,Eléctrico,218 CV,"directo, sin caja de cambios",5 puertas,Katana Grey Metalizado,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-advance-63-kwh-4x2-en-leon.htm?id=7978021,51360
11,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,02,5.000 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-palmas+las.htm?id=7976068,49900
12,Nissan,Ariya,Advance 63 Kwh 4x2,2022,01,4.294 km,Eléctrico,218 CV,"directo, sin caja de cambios",5 puertas,AURORA GREEN,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-advance-63-kwh-4x2-en-tarragona.htm?id=8109914,42900
13,Nissan,Ariya,Evolve 63 Kwh 4x2,2023,01,6.000 km,Eléctrico,217 CV,"directo, sin caja de cambios",5 puertas,Shirogane Silver + Ninja Black,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-63-kwh-4x2-en-illes+balears.htm?id=8071933,42500
14,Nissan,Ariya,Advance 87 Kwh 4x2,2023,11,NUEVO,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-advance-87-kwh-4x2-en-madrid.htm?id=8067923,49285
15,Nissan,Ariya,Evolve 87 Kwh 4x2,2022,09,15.000 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Bronce,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-ariya-evolve-87-kwh-4x2-en-salamanca.htm?id=8048404,51950
16,Nissan,Ariya,Evolve 87 Kwh 4x2,2022,09,8.500 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-madrid.htm?id=8004840,54900
17,Nissan,Ariya,Evolve 87 Kwh 4x2,2024,01,NUEVO,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Ocean Blue + Ninja Black,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-lugo.htm?id=7986230,59590
18,Nissan,Ariya,Evolve 87 Kwh 4x2,2024,01,6 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,Ocean Blue + Ninja Black,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-lugo.htm?id=7985632,59590
19,Nissan,Ariya,Evolve 87 Kwh 4x2,2023,03,4.550 km,Eléctrico,242 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-nissan-ariya-evolve-87-kwh-4x2-en-lugo.htm?id=7836868,51900
