,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Evalia,7 1.5dci,2011,,199.000 km,Diesel,110 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-7-15dci-en-madrid.htm?id=8097957,9900
1,Nissan,Evalia,E-nv200  7 40kwh,2018,,149.000 km,Eléctrico,109 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-e-nv200--7-40kwh-en-madrid.htm?id=7973929,22900
2,Nissan,Evalia,7 1.5dci,2012,,180.000 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-7-15dci-en-valencia.htm?id=8071413,12200
3,Nissan,Evalia,7 1.5dci Comfort,2019,,100.000 km,Diesel,110 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-7-15dci-comfort-en-pontevedra.htm?id=8013721,14500
4,Nissan,Evalia,5 1.5dci Comfort,2018,08,107.500 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-5-15dci-comfort-en-asturias.htm?id=8125983,17900
5,Nissan,Evalia,7 1.6,2013,08,148.000 km,Gasolina,110 CV,manual,5 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-7-16-en-madrid.htm?id=8111757,13990
6,Nissan,Evalia,7 1.5dci,2015,09,89.620 km,Diesel,110 CV,manual,5 puertas,GRIS PLATA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-7-15dci-en-lugo.htm?id=8089067,21900
7,Nissan,Evalia,5 1.5dci Comfort,2015,03,114.229 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-5-15dci-comfort-en-toledo.htm?id=8077227,14999
8,Nissan,Evalia,E-nv200  7,2018,03,69.950 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-e-nv200--7-en-palmas+las.htm?id=8062973,17995
9,Nissan,Evalia,E-nv200  5 40kwh,2019,09,22.000 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-e-nv200--5-40kwh-en-madrid.htm?id=8030191,19900
10,Nissan,Evalia,E-nv200  5 40kwh,2019,03,163.107 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-e-nv200--5-40kwh-en-palmas+las.htm?id=8003438,13995
11,Nissan,Evalia,E-nv200  7 40kwh,2018,01,46.517 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-evalia-e-nv200--7-40kwh-en-palmas+las.htm?id=7994002,19995
