,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Qashqai,1.7dci Acenta 4x4-i,2019,,156.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-17dci-acenta-4x4-i-en-badajoz.htm?id=8005489,16500
1,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,10 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=7827002,16900
2,Nissan,X-Trail,1.5 E-power N-connecta E-4orce 4x4 5pl. 158kw,2023,02,1.200 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-nissan-x-trail-15-e-power-n-connecta-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7974188,39200
3,Nissan,X-Trail,1.5 E-power N-connecta E-4orce 4x4 5pl. 158kw,2023,07,1 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-nissan-x-trail-15-e-power-n-connecta-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7826957,40900
4,Nissan,X-Trail,1.5 E-power Tekna E-4orce 4x4 5pl. 158kw,2022,11,15.575 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-15-e-power-tekna-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7997757,40500
5,Nissan,X-Trail,1.5 E-power Tekna E-4orce 4x4 5pl. 158kw,2022,11,20.200 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-15-e-power-tekna-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7942980,40500
6,Nissan,X-Trail,1.5 E-power Tekna E-4orce 4x4 5pl. 158kw,2022,11,20.500 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-15-e-power-tekna-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7942979,40500
7,Nissan,X-Trail,1.5 E-power Tekna E-4orce 4x4 5pl. 158kw,2022,10,3.200 km,Gasolina,213 CV,"directo, sin caja de cambios",5 puertas,Rojo,Profesional,https://www.coches.com/km0/seminuevo-nissan-x-trail-15-e-power-tekna-e-4orce-4x4-5pl-158kw-en-barcelona.htm?id=7827041,42900
8,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,40.118 km,Gasolina,114 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8112958,18950
9,Nissan,X-Trail,1.3 Dig-t Acenta 4x2 Dct,2019,09,49.331 km,Gasolina,160 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-13-dig-t-acenta-4x2-dct-en-sevilla.htm?id=8126185,23450
10,Nissan,X-Trail,1.6 Dci Acenta 4x4-i,2019,,222.800 km,Diesel,130 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-x-trail-16-dci-acenta-4x4-i-en-badajoz.htm?id=8122704,13990
11,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2020,02,52.100 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8121012,19450
12,Nissan,Qashqai,Q+2 2.0 Tekna Premium 4x4 Cvt 17´´,2012,02,214.207 km,Gasolina,140 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-q+2-20-tekna-premium-4x4-cvt-17-en-rioja+la.htm?id=8060818,9500
13,Nissan,Juke,1.0 Dig-t Visia 4x2 114,2021,09,65.458 km,Gasolina,114 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-juke-10-dig-t-visia-4x2-114-en-sevilla.htm?id=8045762,18450
14,Nissan,Leaf,Visia 30kwh,2018,01,58.039 km,Eléctrico,109 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-leaf-visia-30kwh-en-sevilla.htm?id=7566545,12950
15,Nissan,Qashqai,1.3 Dig-t Acenta 4x2 103kw,2019,06,81.330 km,Gasolina,140 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-13-dig-t-acenta-4x2-103kw-en-sevilla.htm?id=8118009,19450
16,Nissan,Qashqai,1.2 Dig-t Visia 4x2,2018,08,55.157 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-qashqai-12-dig-t-visia-4x2-en-sevilla.htm?id=8112959,17950
17,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,11.207 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8081112,16500
18,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,7.380 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8078043,16500
19,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,7.495 km,Gasolina,92 CV,manual,5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8078042,16500
20,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,2.317 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8068963,16500
21,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,11.191 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8068962,16500
22,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,10.222 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8068961,16500
23,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,9.907 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=8067120,16500
