,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Micra,Ig-t Acenta Sprint 92,2023,02,10 km,Gasolina,92 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-nissan-micra-ig-t-acenta-sprint-92-en-barcelona.htm?id=7827002,16900
1,Nissan,Micra,Ig-t Acenta 92,2022,04,21.446 km,Gasolina,92 CV,manual,5 puertas,ENGIMA BLACK NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-valencia.htm?id=7823618,15990
2,Nissan,Micra,Ig-t Acenta 92,2021,,35.000 km,Gasolina,92 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-illes+balears.htm?id=8086481,11500
3,Nissan,Micra,1.2 Visia,2005,,100.000 km,Gasolina,65 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-visia-en-tarragona.htm?id=8034967,4995
4,Nissan,Micra,1.0 G Visia 70,2017,,81.000 km,Gasolina,70 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-10-g-visia-70-en-madrid.htm?id=8128738,7990
5,Nissan,Micra,Ig-t Acenta 100,2020,,52.267 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-madrid.htm?id=8117009,11990
6,Nissan,Micra,Ig-t Acenta 100,2020,,42.873 km,Gasolina,100 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-madrid.htm?id=8115289,12490
7,Nissan,Micra,1.2 Acenta,2010,,111.892 km,Gasolina,80 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-acenta-en-murcia.htm?id=8092784,5700
8,Nissan,Micra,1.5dci S&s N-connecta 90,2018,,160.000 km,Diesel,90 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-15dci-s_s-n-connecta-90-en-malaga.htm?id=8062331,8999
9,Nissan,Micra,Ig-t N-connecta Cvt 100,2020,,47.941 km,Gasolina,100 CV,manual,5 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-n-connecta-cvt-100-en-madrid.htm?id=8122183,12550
10,Nissan,Micra,Ig-t Acenta 100,2020,,38.196 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-madrid.htm?id=8117010,12990
11,Nissan,Micra,Ig-t Acenta 100,2019,07,39.908 km,Gasolina,100 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-toledo.htm?id=8115227,11699
12,Nissan,Micra,Ig-t Acenta 92,2021,07,54.197 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-madrid.htm?id=7915843,12390
13,Nissan,Micra,Ig-t Acenta 92,2021,07,54.197 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-sevilla.htm?id=7892761,12390
14,Nissan,Micra,Ig-t Acenta 92,2021,07,54.197 km,Gasolina,92 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-92-en-malaga.htm?id=7850491,12390
15,Nissan,Micra,Ig-t Acenta 100,2020,,31.500 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-valencia.htm?id=8112634,13490
16,Nissan,Micra,1.5dci S&s Visia+ 90,2018,01,38.657 km,Diesel,90 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-15dci-s_s-visia+-90-en-toledo.htm?id=8110502,12799
17,Nissan,Micra,1.2 Acenta,2013,02,33.769 km,Gasolina,80 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-acenta-en-toledo.htm?id=8106260,8199
18,Nissan,Micra,1.2 Visia Plus,2004,04,74.250 km,Gasolina,80 CV,manual,3 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-visia-plus-en-sevilla.htm?id=8071743,3800
19,Nissan,Micra,Ig-t Acenta 100,2020,,44.900 km,Gasolina,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-valencia.htm?id=8067048,13390
20,Nissan,Micra,1.5dci Tekna,2008,02,169.550 km,Diesel,86 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-15dci-tekna-en-valencia.htm?id=7960007,4800
21,Nissan,Micra,1.0 G Visia+ 70,2019,,107.000 km,Gasolina,70 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-10-g-visia+-70-en-sevilla.htm?id=8118605,9990
22,Nissan,Micra,Ig-t Acenta 100,2020,,13.285 km,Gasolina,100 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-ig-t-acenta-100-en-madrid.htm?id=8117014,13990
23,Nissan,Micra,1.0 G Acenta 70,2017,,101.000 km,Gasolina,70 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-10-g-acenta-70-en-tarragona.htm?id=8082377,9500
24,Nissan,Micra,1.2 Visia,2005,,62.000 km,Gasolina,65 CV,manual,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-visia-en-zaragoza.htm?id=8082193,4950
25,Nissan,Micra,1.2 Dig-s Tekna Premium,2012,,195.000 km,Gasolina,98 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-dig-s-tekna-premium-en-madrid.htm?id=8076364,5500
26,Nissan,Micra,1.2 Acenta,2014,,89.300 km,Gasolina,80 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-micra-12-acenta-en-barcelona.htm?id=8059538,7599
