,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Murano,2.5dci Tekna Premium Aut.,2011,02,116.000 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-tekna-premium-aut-en-barcelona.htm?id=8049044,12699
1,Nissan,Murano,3.5 V6 Comfort Aut.,2009,01,150.000 km,Gasolina,256 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-comfort-aut-en-malaga.htm?id=8062044,11600
2,Nissan,Murano,3.5 V6 Aut.,2007,,194.000 km,Gasolina,234 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-aut-en-ciudad+real.htm?id=8087296,7990
3,Nissan,Murano,2.5dci Tekna Premium Aut.,2011,,244.748 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-tekna-premium-aut-en-badajoz.htm?id=6964287,11499
4,Nissan,Murano,2.5dci Tekna Sport Aut.,2011,,142.061 km,Diesel,190 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-tekna-sport-aut-en-murcia.htm?id=8021778,12800
5,Nissan,Murano,3.5 V6 Premium Aut.,2009,,130.000 km,Gasolina,256 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-premium-aut-en-lleida.htm?id=8073942,10800
6,Nissan,Murano,3.5 V6 Premium Aut.,2010,,190.000 km,Gasolina,256 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-premium-aut-en-girona.htm?id=8091648,7500
7,Nissan,Murano,3.5 V6 Aut.,2008,,170.000 km,Gasolina,234 CV,automática continua,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-aut-en-cantabria.htm?id=8045124,5500
8,Nissan,Murano,3.5 V6 Aut.,2007,,163.000 km,Gasolina,234 CV,automática continua,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-aut-en-barcelona.htm?id=8033842,5900
9,Nissan,Murano,3.5 V6 Aut.,2005,,160.000 km,Gasolina,234 CV,automática continua,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-aut-en-lugo.htm?id=8128245,6000
10,Nissan,Murano,2.5dci Tekna Premium Aut.,2011,,139.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-tekna-premium-aut-en-barcelona.htm?id=7912689,11900
11,Nissan,Murano,2.5dci Acenta Aut.,2010,,200.000 km,Diesel,190 CV,automática secuencial,5 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-acenta-aut-en-alicante.htm?id=7781187,8000
12,Nissan,Murano,2.5dci Tekna Sport Aut.,2013,07,357.302 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-25dci-tekna-sport-aut-en-alicante.htm?id=8124172,9950
13,Nissan,Murano,3.5 V6 Aut.,2007,06,83.059 km,Gasolina,234 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-murano-35-v6-aut-en-rioja+la.htm?id=7022833,10800
