,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Nissan,Nv400,Fg. 2.3dci 125 L2h2 3.5t Fwd Comfort,2016,,256.000 km,Diesel,125 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-125-l2h2-35t-fwd-comfort-en-barcelona.htm?id=8045222,14500
1,Nissan,Nv400,Fg. 2.3dci 130 L3h3 3.5t Fwd Basic,2019,,108.000 km,Diesel,130 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-130-l3h3-35t-fwd-basic-en-malaga.htm?id=8072592,23750
2,Nissan,Nv400,Combi 6 2.3dci 125 L2h2 3.5t Fwd Comfort,2016,07,136.555 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-combi-6-23dci-125-l2h2-35t-fwd-comfort-en-vizcaya.htm?id=8028213,18900
3,Nissan,Nv400,Fg. 2.3dci 130 L2h2 3.5t Fwd Comfort,2018,07,55.333 km,Diesel,130 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-130-l2h2-35t-fwd-comfort-en-pontevedra.htm?id=8006064,19950
4,Nissan,Nv400,Fg. 2.3dci 130 L3h2 3.5t Fwd Basic,2018,07,55.333 km,Diesel,130 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-130-l3h2-35t-fwd-basic-en-lugo.htm?id=8005488,19950
5,Nissan,Nv400,Fg. 2.3dci 130 L2h2 3.5t Fwd Comfort,2018,07,55.333 km,Diesel,130 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-130-l2h2-35t-fwd-comfort-en-ourense.htm?id=8005341,19950
6,Nissan,Nv400,Fg. 2.3dci 130 L2h2 3.5t Fwd Basic,2018,07,55.333 km,Diesel,130 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-130-l2h2-35t-fwd-basic-en-coruna+a.htm?id=8005216,19950
7,Nissan,Nv400,Fg. 2.3dci 145 L3h2 3.5t Fwd Basic,2017,,197.000 km,Diesel,145 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-fg-23dci-145-l3h2-35t-fwd-basic-en-barcelona.htm?id=7966101,14990
8,Nissan,Nv400,Combi 9 2.3dci 145 L2h2 3.5t Fwd Comfort,2015,,193.456 km,Diesel,145 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-combi-9-23dci-145-l2h2-35t-fwd-comfort-en-sevilla.htm?id=7905678,21499
9,Nissan,Nv400,Combi 6 2.3dci 125 L1h1 3t Fwd Comfort,2015,03,130.735 km,Diesel,125 CV,manual,4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-nissan-nv400-combi-6-23dci-125-l1h1-3t-fwd-comfort-en-madrid.htm?id=7902973,17350
