,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Corsa Van,1.3cdti Expression 75,2017,06,115.000 km,Diesel,75 CV,manual,3 puertas,Amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-lugo.htm?id=8073032,5900
1,Opel,Corsa Van,1.3cdti Expression 75,2017,,86.000 km,Diesel,75 CV,manual,3 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-madrid.htm?id=8120763,6950
2,Opel,Corsa Van,1.3cdti Expression 75,2017,,83.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-madrid.htm?id=8120758,8950
3,Opel,Corsa Van,1.3cdti Expression 75,2017,,144.000 km,Diesel,75 CV,manual,3 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-madrid.htm?id=8120756,6950
4,Opel,Corsa Van,1.3cdti Expression 75,2017,,68.452 km,Diesel,75 CV,manual,3 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-barcelona.htm?id=7884017,6500
5,Opel,Corsa Van,1.3cdti Expression 75,2018,,106.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-barcelona.htm?id=8127977,7490
6,Opel,Corsa Van,1.5dt S/s Edition 100,2023,03,NUEVO,Diesel,100 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-opel-corsa+van-15dt-ss-edition-100-en-valladolid.htm?id=7937478,23900
7,Opel,Corsa Van,1.3cdti Expression 75,2017,04,124.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-barcelona.htm?id=7933114,5980
8,Opel,Corsa Van,1.3cdti Expression 75,2016,07,204.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-barcelona.htm?id=7620859,4980
9,Opel,Corsa Van,1.3cdti Expression 75,2017,10,132.500 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-teruel.htm?id=7670361,7000
10,Opel,Corsa Van,1.3cdti Expression 75,2017,12,64.002 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-corsa+van-13cdti-expression-75-en-granada.htm?id=8030920,8990
