,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Karl,1.0 Rocks,2019,03,49.171 km,Gasolina,73 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-rocks-en-toledo.htm?id=8093248,10599
1,Opel,Karl,1.0 Xe Selective,2017,,74.394 km,Gasolina,75 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-madrid.htm?id=8125152,10650
2,Opel,Karl,1.0 Xe Expression,2017,,17.080 km,Gasolina,75 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-expression-en-alicante.htm?id=8114028,12400
3,Opel,Karl,1.0 Xe Selective,2018,02,84.950 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-palmas+las.htm?id=8059113,8995
4,Opel,Karl,1.0 Xe Selective,2017,12,8.170 km,Gasolina,75 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-barcelona.htm?id=8093624,10990
5,Opel,Karl,1.0 Xe Selective,2016,,65.000 km,Gasolina,75 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-tarragona.htm?id=8037511,10000
6,Opel,Karl,1.0 Rocks,2018,06,96.515 km,Gasolina,73 CV,manual,5 puertas,Rojo Escarlata (sólido),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-rocks-en-madrid.htm?id=8118035,10490
7,Opel,Karl,1.0 Rocks,2018,09,35.253 km,Gasolina,73 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-rocks-en-madrid.htm?id=8108086,10490
8,Opel,Karl,1.0 Xe Selective,2017,04,68.685 km,Gasolina,75 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-madrid.htm?id=8102774,10990
9,Opel,Karl,1.0 Rocks,2019,05,24.000 km,Gasolina,73 CV,manual,5 puertas,Rojo Escarlata (sólido),Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-rocks-en-madrid.htm?id=8087455,11990
10,Opel,Karl,1.0 Xe Selective Aut.,2018,03,44.000 km,Gasolina,75 CV,manual automatizada,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-aut-en-madrid.htm?id=7880886,11370
11,Opel,Karl,1.0 Xe Selective,2015,03,59.000 km,Gasolina,75 CV,manual,5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-karl-10-xe-selective-en-barcelona.htm?id=7733312,8490
