,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Tigra,1.3cdti Sport,2006,,92.287 km,Diesel,70 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-13cdti-sport-en-valencia.htm?id=7814935,5998
1,Opel,Tigra,1.3cdti Sport,2006,,92.745 km,Diesel,70 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-13cdti-sport-en-valencia.htm?id=7814937,5998
2,Opel,Tigra,1.4i 16v,1995,05,84.000 km,Gasolina,90 CV,manual,2 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-14i-16v-en-lleida.htm?id=8036038,6500
3,Opel,Tigra,1.3cdti Sport,2006,,95.541 km,Diesel,70 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-13cdti-sport-en-valencia.htm?id=7817753,5690
4,Opel,Tigra,1.3cdti Sport,2006,,95.541 km,Diesel,70 CV,manual,2 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-13cdti-sport-en-valencia.htm?id=7817752,5690
5,Opel,Tigra,1.4 16v Sport Mta,2006,,52.890 km,Gasolina,90 CV,automática secuencial,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-14-16v-sport-mta-en-barcelona.htm?id=7711096,8000
6,Opel,Tigra,1.4 16v Enjoy,2007,,135.000 km,Gasolina,90 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-14-16v-enjoy-en-tenerife.htm?id=7853778,3200
7,Opel,Tigra,1.3cdti Sport,2007,,52.000 km,Diesel,70 CV,manual,2 puertas,verde,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-13cdti-sport-en-almeria.htm?id=7993231,5000
8,Opel,Tigra,1.4 16v Enjoy,2007,,90.000 km,Gasolina,90 CV,manual,2 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-14-16v-enjoy-en-guipuzcoa.htm?id=7751162,4000
9,Opel,Tigra,1.8 16v Sport Premium,2005,,93.000 km,Gasolina,125 CV,manual,2 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-opel-tigra-18-16v-sport-premium-en-cordoba.htm?id=7869811,3500
