,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Opel,Zafira Life,2.0d L Selective At8 180,2020,,40.000 km,Diesel,179 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-20d-l-selective-at8-180-en-lleida.htm?id=8115637,44500
1,Opel,Zafira Life,1.5d M Edition,2021,,70.400 km,Diesel,120 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-15d-m-edition-en-illes+balears.htm?id=8035126,31900
2,Opel,Zafira Life,2.0d M Innovation 150,2020,02,134.467 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-20d-m-innovation-150-en-madrid.htm?id=7918978,25890
3,Opel,Zafira Life,2.0d M Innovation 150,2020,02,134.467 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-20d-m-innovation-150-en-sevilla.htm?id=7893941,25890
4,Opel,Zafira Life,2.0d M Innovation 150,2020,02,134.467 km,Diesel,150 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-20d-m-innovation-150-en-malaga.htm?id=7878505,25890
5,Opel,Zafira Life,-e M Business Edition 100kw 50kwh,2023,08,NUEVO,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,MarrÃ³n,Profesional,https://www.coches.com/km0/seminuevo-opel-zafira+life--e-m-business-edition-100kw-50kwh-en-sevilla.htm?id=7934162,48629
6,Opel,Zafira Life,-e M Business Edition 100kw 50kwh,2023,08,NUEVO,Eléctrico,136 CV,"directo, sin caja de cambios",4 puertas,Marrón,Profesional,https://www.coches.com/km0/seminuevo-opel-zafira+life--e-m-business-edition-100kw-50kwh-en-sevilla.htm?id=7696236,48629
7,Opel,Zafira Life,1.5d M Edition,2021,03,26.831 km,Diesel,120 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-15d-m-edition-en-toledo.htm?id=8129506,31499
8,Opel,Zafira Life,1.5d S Selective,2019,06,51.281 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-15d-s-selective-en-sevilla.htm?id=8127194,30491
9,Opel,Zafira Life,1.5d L Edition,2021,01,80.387 km,Diesel,120 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-opel-zafira+life-15d-l-edition-en-madrid.htm?id=8028345,29990
