,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,207,1.4hdi Urban,2007,,235.000 km,Diesel,70 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-urban-en-madrid.htm?id=8053965,3990
1,Peugeot,207,1.4hdi Confort,2008,,186.000 km,Diesel,70 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-confort-en-castellon.htm?id=8007756,4600
2,Peugeot,207,1.4 Vti 16v Confort,2009,,127.000 km,Gasolina,95 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14-vti-16v-confort-en-alicante.htm?id=8091734,5250
3,Peugeot,207,1.4i Urban 75,2007,,150.000 km,Gasolina,75 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14i-urban-75-en-madrid.htm?id=8116826,4000
4,Peugeot,207,1.4 Vti 16v Confort,2009,,129.350 km,Gasolina,95 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14-vti-16v-confort-en-malaga.htm?id=8002407,5390
5,Peugeot,207,1.6 Hdi Sport 110,2008,,262.000 km,Diesel,110 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-hdi-sport-110-en-murcia.htm?id=8101029,3600
6,Peugeot,207,1.4hdi Urban,2008,,280.000 km,Diesel,70 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-urban-en-madrid.htm?id=8061616,3999
7,Peugeot,207,1.4i Confort 75,2009,,120.000 km,Gasolina,75 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14i-confort-75-en-madrid.htm?id=8086073,4800
8,Peugeot,207,1.4hdi Fap Business Line,2011,,104.241 km,Diesel,70 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-fap-business-line-en-sevilla.htm?id=8065060,7750
9,Peugeot,207,Cc 1.6 Vti,2008,07,90.375 km,Gasolina,120 CV,manual,2 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-cc-16-vti-en-malaga.htm?id=8058807,7900
10,Peugeot,207,Cc 1.6 Vti,2007,08,168.000 km,Gasolina,120 CV,manual,2 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-cc-16-vti-en-madrid.htm?id=8056319,7990
11,Peugeot,207,1.4i Urban 75,2007,,111.000 km,Gasolina,75 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14i-urban-75-en-zaragoza.htm?id=8040884,4950
12,Peugeot,207,1.6hdi Sport,2009,,213.000 km,Diesel,90 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16hdi-sport-en-malaga.htm?id=7936848,5490
13,Peugeot,207,1.4hdi Fap Access,2011,04,141.547 km,Diesel,70 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-fap-access-en-sevilla.htm?id=7737817,6950
14,Peugeot,207,1.4hdi Confort,2009,,183.100 km,Diesel,70 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-confort-en-pontevedra.htm?id=8098365,4990
15,Peugeot,207,Sw 1.4i Confort,2010,,134.000 km,Gasolina,75 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-sw-14i-confort-en-madrid.htm?id=8079174,5200
16,Peugeot,207,1.6 Hdi Premium,2007,,190.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-hdi-premium-en-lleida.htm?id=8018506,4890
17,Peugeot,207,1.4hdi Confort,2010,06,148.834 km,Diesel,70 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-confort-en-granada.htm?id=8004837,5900
18,Peugeot,207,1.4hdi Confort,2010,,160.000 km,Diesel,70 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14hdi-confort-en-pontevedra.htm?id=7840193,6500
19,Peugeot,207,1.6 Hdi Xs Pack,2006,,275.853 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-hdi-xs-pack-en-pontevedra.htm?id=8120871,3400
20,Peugeot,207,1.6 Hdi Gt 110,2007,,315.669 km,Diesel,110 CV,manual,3 puertas,naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-hdi-gt-110-en-asturias.htm?id=8077706,3500
21,Peugeot,207,1.4i 16v Xs,2006,,127.000 km,Gasolina,90 CV,manual,3 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14i-16v-xs-en-lleida.htm?id=8052835,3490
22,Peugeot,207,+ 1.4hdi Fap,2014,,161.000 km,Diesel,68 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-+-14hdi-fap-en-sevilla.htm?id=7959802,7200
23,Peugeot,207,1.4i Confort,2010,,183.000 km,Gasolina,75 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-14i-confort-en-madrid.htm?id=7875965,4900
24,Peugeot,207,1.6 Vti 16v Sport Aut.,2008,,70.000 km,Gasolina,120 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-vti-16v-sport-aut-en-almeria.htm?id=7700826,5700
25,Peugeot,207,1.6hdi Sport,2009,,245.000 km,Diesel,90 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16hdi-sport-en-barcelona.htm?id=7403871,3495
26,Peugeot,207,1.6 Hdi Sport 110,2008,,165.000 km,Diesel,110 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-207-16-hdi-sport-110-en-albacete.htm?id=7951661,5900
