,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Peugeot,Partner,1.6bluehdi S&s Pro Long 1000kg 100,2019,,54.000 km,Diesel,100 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-16bluehdi-s_s-pro-long-1000kg-100-en-madrid.htm?id=8120732,15950
1,Peugeot,Partner,Furgón 1.6bluehdi Confortpack L1 100,2017,,77.149 km,Diesel,100 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confortpack-l1-100-en-toledo.htm?id=8112416,11950
2,Peugeot,Partner,1.5bluehdi S&s Pro Standard 600kg 100,2022,,10 km,Diesel,100 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-peugeot-partner-15bluehdi-s_s-pro-standard-600kg-100-en-coruna+a.htm?id=7976313,20990
3,Peugeot,Partner,Tepee 1.2 Puretech Outdoor 110,2017,,115.100 km,Gasolina,110 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-12-puretech-outdoor-110-en-tenerife.htm?id=8035386,13490
4,Peugeot,Partner,P. Tepee 1.6bluehdi Dangel Extreme 4x4 100,2017,,150.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-p-tepee-16bluehdi-dangel-extreme-4x4-100-en-malaga.htm?id=8035332,12500
5,Peugeot,Partner,Furgón 1.6bluehdi Confort L1 100,2018,,15.900 km,Diesel,100 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confort-l1-100-en-madrid.htm?id=8120741,10950
6,Peugeot,Partner,Tepee 1.6bluehdi Active 100,2018,05,149.900 km,Diesel,100 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-active-100-en-badajoz.htm?id=7929878,9500
7,Peugeot,Partner,Tepee 1.6bluehdi Active 120,2018,04,128.939 km,Diesel,120 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-active-120-en-malaga.htm?id=7198869,10500
8,Peugeot,Partner,Tepee 1.6hdi Active 115,2014,,187.000 km,Diesel,115 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16hdi-active-115-en-murcia.htm?id=8128752,7501
9,Peugeot,Partner,1.6bluehdi Premium Standard 600kg 75,2018,,97.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-16bluehdi-premium-standard-600kg-75-en-madrid.htm?id=8124160,7768
10,Peugeot,Partner,Tepee 1.6bluehdi Access 75,2017,,100.000 km,Diesel,75 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-access-75-en-lleida.htm?id=8115648,10900
11,Peugeot,Partner,1.5bluehdi S&s Grip Standard 1000kg 130,2020,03,57.000 km,Diesel,130 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-15bluehdi-s_s-grip-standard-1000kg-130-en-palmas+las.htm?id=8102069,15990
12,Peugeot,Partner,1.5bluehdi S&s Pro Standard 600kg 100,2020,,92.000 km,Diesel,100 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-15bluehdi-s_s-pro-standard-600kg-100-en-madrid.htm?id=8091967,9504
13,Peugeot,Partner,Furgón 1.6bluehdi Confort L1 75,2017,,90.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confort-l1-75-en-madrid.htm?id=8067439,6942
14,Peugeot,Partner,Furgón 1.6bluehdi Confort L1 75,2016,,185.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confort-l1-75-en-madrid.htm?id=8040185,5702
15,Peugeot,Partner,P. Tepee 1.6bluehdi Adventure Ed. Etg6 100,2017,,185.000 km,Diesel,100 CV,manual automatizada,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-p-tepee-16bluehdi-adventure-ed-etg6-100-en-madrid.htm?id=8040178,8181
16,Peugeot,Partner,Tepee 1.6hdi Premium 110,2008,,156.000 km,Diesel,110 CV,manual,4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16hdi-premium-110-en-barcelona.htm?id=7801832,7990
17,Peugeot,Partner,Tepee 1.6bluehdi Adventure Ed. 100,2018,,104.000 km,Diesel,100 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-tepee-16bluehdi-adventure-ed-100-en-navarra.htm?id=8130340,13100
18,Peugeot,Partner,Furgón 1.6bluehdi Confort L1 100,2018,,136.000 km,Diesel,100 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-peugeot-partner-furgon-16bluehdi-confort-l1-100-en-madrid.htm?id=8119477,6600
