,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Porsche,Taycan,Turbo,2020,,43.400 km,Eléctrico,680 CV,"directo, sin caja de cambios",4 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-turbo-en-madrid.htm?id=8098373,87990
1,Porsche,Taycan,4s,2020,,65.000 km,Eléctrico,530 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-barcelona.htm?id=8086822,79900
2,Porsche,Taycan,4s Sport Turismo,2022,09,22.200 km,Eléctrico,530 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-sport-turismo-en-coruna+a.htm?id=8019343,114900
3,Porsche,Taycan,4s,2020,10,105.000 km,Eléctrico,530 CV,"directo, sin caja de cambios",5 puertas,Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-murcia.htm?id=7995168,89900
4,Porsche,Taycan,4s,2020,,22.000 km,Eléctrico,530 CV,automática,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-alicante.htm?id=7958002,98900
5,Porsche,Taycan,4s,2020,,72.000 km,Eléctrico,530 CV,automática,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-alicante.htm?id=7938508,90000
6,Porsche,Taycan,4s Cross Turismo,2021,,15.000 km,Eléctrico,490 CV,"directo, sin caja de cambios",5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-cross-turismo-en-tarragona.htm?id=7983164,85000
7,Porsche,Taycan,4s Cross Turismo,2023,05,10.000 km,Eléctrico,490 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-porsche-taycan-4s-cross-turismo-en-coruna+a.htm?id=8130083,118900
8,Porsche,Taycan,Turbo,2020,10,24.000 km,Eléctrico,680 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-turbo-en-asturias.htm?id=8124650,109900
9,Porsche,Taycan,4s,2020,07,44.410 km,Eléctrico,530 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-granada.htm?id=8113048,79500
10,Porsche,Taycan,4s,2022,10,3.000 km,Eléctrico,530 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-porsche-taycan-4s-en-madrid.htm?id=8092266,130999
11,Porsche,Taycan,4s,2021,08,38.890 km,Eléctrico,530 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-en-cordoba.htm?id=8092168,79900
12,Porsche,Taycan,4s,2023,10,3.012 km,Eléctrico,530 CV,"directo, sin caja de cambios",4 puertas,GRIS/PLATA,Profesional,https://www.coches.com/km0/seminuevo-porsche-taycan-4s-en-coruna+a.htm?id=8089569,138990
13,Porsche,Taycan,4 Cross Turismo,2023,10,1.500 km,Eléctrico,380 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-porsche-taycan-4-cross-turismo-en-coruna+a.htm?id=8084181,124700
14,Porsche,Taycan,4s Cross Turismo,2022,11,21.300 km,Eléctrico,490 CV,"directo, sin caja de cambios",5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-cross-turismo-en-madrid.htm?id=8078765,108900
15,Porsche,Taycan,4 Cross Turismo,2021,05,16.000 km,Eléctrico,380 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4-cross-turismo-en-alicante.htm?id=8074784,108999
16,Porsche,Taycan,,2023,02,9.300 km,Eléctrico,326 CV,"directo, sin caja de cambios",4 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-porsche-taycan--en-coruna+a.htm?id=8056122,99900
17,Porsche,Taycan,4s Cross Turismo,2023,01,18.000 km,Eléctrico,490 CV,"directo, sin caja de cambios",5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4s-cross-turismo-en-coruna+a.htm?id=8051355,110700
18,Porsche,Taycan,Sport Turismo,2022,12,12.200 km,Eléctrico,326 CV,"directo, sin caja de cambios",5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-sport-turismo-en-coruna+a.htm?id=8017971,99700
19,Porsche,Taycan,4 Cross Turismo,2022,09,16.200 km,Eléctrico,380 CV,"directo, sin caja de cambios",5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-porsche-taycan-4-cross-turismo-en-alicante.htm?id=7986893,103999
