,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2016,08,104.310 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7079420,7900
1,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,,59.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=8113658,6200
2,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,,223.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=8112032,3900
3,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,,75.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=8110740,6000
4,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,04,126.131 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7787459,6790
5,Renault,Clio Societé,Clio 3 Societé 1.5dci Collection,2013,01,286.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-3-societe-15dci-collection-en-lugo.htm?id=8074237,4150
6,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,,148.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7884325,6800
7,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2016,,108.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7884321,6900
8,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2016,,108.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7690666,6900
9,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,,148.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7690662,6800
10,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,04,122.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7412657,6890
11,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,,113.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-toledo.htm?id=8061322,7000
12,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,,39.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-barcelona.htm?id=8003795,8990
13,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2017,,80.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-barcelona.htm?id=8003792,8490
14,Renault,Clio Societé,Clio 4 Societé 1.5dci,2017,12,152.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-en-barcelona.htm?id=7749750,5980
15,Renault,Clio Societé,Clio 4 Societé 1.5dci,2017,07,98.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-en-barcelona.htm?id=7645193,5980
16,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,,95.435 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=7959920,7900
17,Renault,Clio Societé,Clio 3 Societé 1.5dci,2011,,68.000 km,Diesel,75 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-3-societe-15dci-en-rioja+la.htm?id=8013849,6800
18,Renault,Clio Societé,Clio 4 Societé 1.5dci Energy,2018,10,91.181 km,Diesel,75 CV,manual,3 puertas,,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-clio+societe-clio-4-societe-15dci-energy-en-madrid.htm?id=8038463,8200
