,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Express,1.5 Blue Dci Confort 55kw,2021,,192.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-55kw-en-palmas+las.htm?id=8030807,12995
1,Renault,Express,1.5 Blue Dci Confort 70kw,2022,,7.993 km,Diesel,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-confort-70kw-en-madrid.htm?id=8123799,19550
2,Renault,Express,1.5 Blue Dci Advance 70kw,2023,01,10 km,Diesel,95 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-advance-70kw-en-lugo.htm?id=8073042,22900
3,Renault,Express,1.5 Blue Dci Advance 55kw,2023,05,2.445 km,Diesel,75 CV,manual,3 puertas,Blanco Glaciar,Profesional,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-advance-55kw-en-murcia.htm?id=8027883,22900
4,Renault,Express,1.5 Blue Dci Advance 70kw,2023,,10 km,Diesel,95 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-renault-express-15-blue-dci-advance-70kw-en-lugo.htm?id=7825741,22900
5,Renault,Express,1.5 Blue Dci Confort 55kw,2021,,17.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-55kw-en-barcelona.htm?id=7518864,15990
6,Renault,Express,1.5 Blue Dci Confort 55kw,2021,12,30.000 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-55kw-en-madrid.htm?id=7496903,20694
7,Renault,Express,1.5 Blue Dci Confort 55kw,2022,04,25.250 km,Diesel,75 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-55kw-en-madrid.htm?id=7429189,22389
8,Renault,Express,1.5 Blue Dci Confort 55kw,2021,,66.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-55kw-en-valencia.htm?id=7969759,17900
9,Renault,Express,1.5 Blue Dci Confort 70kw,2022,,19.800 km,Diesel,95 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-express-15-blue-dci-confort-70kw-en-barcelona.htm?id=8095264,19500
