,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Mégane,S.t. 1.5dci Dynamique 110,2011,,174.000 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-dynamique-110-en-albacete.htm?id=8111091,6900
1,Renault,Mégane,1.5dci Blue Business 70kw,2020,09,84.394 km,Diesel,95 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-blue-business-70kw-en-pontevedra.htm?id=8071237,13900
2,Renault,Mégane,S.t. 1.5dci Energy Business 81kw,2017,,187.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-energy-business-81kw-en-malaga.htm?id=8127214,8999
3,Renault,Mégane,1.5dci Energy Zen 81kw,2017,,143.000 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-zen-81kw-en-badajoz.htm?id=8123805,12900
4,Renault,Mégane,1.5dci Blue Limited 85kw,2019,,112.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-blue-limited-85kw-en-badajoz.htm?id=8098275,14990
5,Renault,Mégane,1.3 Tce Gpf Limited 85kw,2019,09,74.861 km,Gasolina,115 CV,manual,5 puertas,Blanco Glaciar,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-13-tce-gpf-limited-85kw-en-murcia.htm?id=8001821,16800
6,Renault,Mégane,1.5dci Energy Business 66kw,2017,,119.000 km,Diesel,90 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-business-66kw-en-sevilla.htm?id=7997382,11949
7,Renault,Mégane,S.t. 1.5dci Energy Gt Line 81kw,2016,,159.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-energy-gt-line-81kw-en-madrid.htm?id=7701183,11500
8,Renault,Mégane,1.5dci Dynamique 105 Eco2,2006,,180.000 km,Diesel,105 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-dynamique-105-eco2-en-tarragona.htm?id=8035011,5750
9,Renault,Mégane,1.5dci Energy Limited 81kw,2018,,166.466 km,Diesel,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-energy-limited-81kw-en-coruna+a.htm?id=8128786,13900
10,Renault,Mégane,1.2 Tce Energy Intens 97kw,2016,,95.000 km,Gasolina,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-12-tce-energy-intens-97kw-en-alicante.htm?id=8066053,12995
11,Renault,Mégane,1.0 Tce Gpf Intens 85kw,2022,,22.527 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-10-tce-gpf-intens-85kw-en-ciudad+real.htm?id=8064204,21000
12,Renault,Mégane,S.t. 1.5dci Energy Business 66kw,2018,,147.000 km,Diesel,90 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-st-15dci-energy-business-66kw-en-badajoz.htm?id=8064066,13900
13,Renault,Mégane,1.8 Tce Gpf Rs Ultime Edc 221kw,2023,,25 km,Gasolina,300 CV,automática secuencial,5 puertas,amarillo,Profesional,https://www.coches.com/km0/seminuevo-renault-megane-18-tce-gpf-rs-ultime-edc-221kw-en-lleida.htm?id=8044147,47900
14,Renault,Mégane,1.5dci Confort Dynamique 85,2006,,180.000 km,Diesel,85 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-15dci-confort-dynamique-85-en-valencia.htm?id=8091758,3300
15,Renault,Mégane,Coupé 1.2 Tce Energy Limited S&s,2015,,100.000 km,Gasolina,115 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-megane-coupe-12-tce-energy-limited-s_s-en-tarragona.htm?id=8123853,7990
