,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Scénic,1.5dci Energy Expression 110,2013,,182.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-energy-expression-110-en-sevilla.htm?id=7851026,6990
1,Renault,Scénic,1.5dci Bose Edc 110,2014,,234.000 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-bose-edc-110-en-malaga.htm?id=8098051,6999
2,Renault,Scénic,Grand  1.3 Tce Gpf Limited 103kw,2021,04,19.229 km,Gasolina,140 CV,manual,5 puertas,AZUL OSCURO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--13-tce-gpf-limited-103kw-en-valencia.htm?id=7944984,22900
3,Renault,Scénic,1.5dci Zen Edc 81kw,2018,03,127.064 km,Diesel,110 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-zen-edc-81kw-en-madrid.htm?id=7810634,17300
4,Renault,Scénic,1.5dci Dynamique 105,2010,,97.008 km,Diesel,105 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-dynamique-105-en-jaen.htm?id=8128927,8750
5,Renault,Scénic,1.2 Tce Energy Zen 96kw,2017,,68.000 km,Gasolina,130 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-12-tce-energy-zen-96kw-en-cadiz.htm?id=8086341,14800
6,Renault,Scénic,Dci Zen Blue Edc 110kw,2019,09,45.209 km,Diesel,150 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-dci-zen-blue-edc-110kw-en-toledo.htm?id=8081614,15699
7,Renault,Scénic,Grand  1.6dci Edition One 96kw,2018,01,100.821 km,Diesel,130 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--16dci-edition-one-96kw-en-toledo.htm?id=8024246,15799
8,Renault,Scénic,Grand  Dci Limited Blue 88kw,2019,,140.500 km,Diesel,120 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--dci-limited-blue-88kw-en-sevilla.htm?id=7964828,16400
9,Renault,Scénic,1.3 Tce Gpf Zen S&s Edc 117kw,2019,,102.000 km,Gasolina,160 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-13-tce-gpf-zen-s_s-edc-117kw-en-alicante.htm?id=8101228,16999
10,Renault,Scénic,1.6dci Energy Bose,2015,,210.000 km,Diesel,130 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-16dci-energy-bose-en-salamanca.htm?id=8101123,7990
11,Renault,Scénic,1.5dci Limited 70kw,2018,,72.000 km,Diesel,95 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-limited-70kw-en-toledo.htm?id=8082426,14900
12,Renault,Scénic,Grand  Dci Limited Blue 88kw,2020,,91.000 km,Diesel,120 CV,automática,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--dci-limited-blue-88kw-en-sevilla.htm?id=8130250,21950
13,Renault,Scénic,1.6dci Eco2 Energy Bose,2016,03,138.000 km,Diesel,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-16dci-eco2-energy-bose-en-barcelona.htm?id=8065443,10990
14,Renault,Scénic,Grand  1.5dci Hybrid Assist Zen 81kw,2017,,101.000 km,Híbrido,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-hybrid-assist-zen-81kw-en-sevilla.htm?id=8061673,18990
15,Renault,Scénic,Dci Zen Blue S&s Edc 110kw,2019,08,46.003 km,Diesel,150 CV,automática secuencial,5 puertas,BEIGE DUNA,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-dci-zen-blue-s_s-edc-110kw-en-barcelona.htm?id=8001660,20900
16,Renault,Scénic,Grand  1.9dci Privilege,2007,,188.000 km,Diesel,130 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--19dci-privilege-en-vizcaya.htm?id=7885991,4999
17,Renault,Scénic,1.5dci Intens 81kw,2017,,67.053 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-intens-81kw-en-cadiz.htm?id=6960565,16990
18,Renault,Scénic,Dci Zen Blue Edc 110kw,2019,,103.500 km,Diesel,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-dci-zen-blue-edc-110kw-en-madrid.htm?id=8104275,18950
19,Renault,Scénic,Grand  1.9dci Dynamique 7pl.,2006,,239.000 km,Diesel,130 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--19dci-dynamique-7pl-en-avila.htm?id=8097541,3590
20,Renault,Scénic,1.2 Tce Energy Zen 96kw,2017,07,75.522 km,Gasolina,130 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-12-tce-energy-zen-96kw-en-barcelona.htm?id=8090890,15390
21,Renault,Scénic,1.5dci Dynamique 105,2010,,244.000 km,Diesel,105 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-dynamique-105-en-madrid.htm?id=8083526,4999
22,Renault,Scénic,Grand  1.5dci Zen 81kw,2017,12,131.000 km,Diesel,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-zen-81kw-en-cadiz.htm?id=8060751,15500
23,Renault,Scénic,1.3 Tce Gpf Limited 103kw,2019,04,39.921 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-13-tce-gpf-limited-103kw-en-sevilla.htm?id=8038781,18500
24,Renault,Scénic,1.5dci Intens 81kw,2018,09,48.416 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-intens-81kw-en-madrid.htm?id=7810628,18300
25,Renault,Scénic,1.3 Tce Gpf Limited 103kw,2019,05,112.264 km,Gasolina,140 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-13-tce-gpf-limited-103kw-en-madrid.htm?id=7810625,15950
26,Renault,Scénic,Grand  Dci Zen Blue 110kw,2020,,163.000 km,Diesel,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--dci-zen-blue-110kw-en-toledo.htm?id=8125086,18900
27,Renault,Scénic,1.5dci Emotion 105,2009,04,160.173 km,Diesel,105 CV,manual,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-emotion-105-en-sevilla.htm?id=8122461,6450
28,Renault,Scénic,Grand  1.5dci Intens 81kw,2018,06,94.835 km,Diesel,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-intens-81kw-en-barcelona.htm?id=8119287,17990
29,Renault,Scénic,1.2 Tce Energy Expression,2012,08,102.659 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-12-tce-energy-expression-en-toledo.htm?id=8109686,7699
30,Renault,Scénic,Grand  1.5dci Zen 81kw,2018,03,112.000 km,Diesel,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-zen-81kw-en-cordoba.htm?id=8106504,18480
31,Renault,Scénic,Grand  1.6dci Energy Dynamique 5pl.,2013,05,102.750 km,Diesel,130 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--16dci-energy-dynamique-5pl-en-valencia.htm?id=8087189,10990
32,Renault,Scénic,Grand  Dci Zen Blue 110kw,2019,12,31.270 km,Diesel,150 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--dci-zen-blue-110kw-en-barcelona.htm?id=8085602,23990
33,Renault,Scénic,1.5dci Dynamique 110,2011,,194.000 km,Diesel,110 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-15dci-dynamique-110-en-valencia.htm?id=8085128,7950
34,Renault,Scénic,Grand  1.3 Tce Zen 103kw,2018,,36.000 km,Gasolina,140 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--13-tce-zen-103kw-en-valencia.htm?id=8085029,20900
35,Renault,Scénic,1.2 Tce Energy Limited,2016,,99.000 km,Gasolina,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-12-tce-energy-limited-en-zaragoza.htm?id=8082178,10950
36,Renault,Scénic,Xmod 1.5dci Energy Expression,2013,,176.793 km,Diesel,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-xmod-15dci-energy-expression-en-ciudad+real.htm?id=8077915,10800
37,Renault,Scénic,Ii 1.9dci Confort Dynamique,2004,,176.000 km,Diesel,120 CV,manual,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-ii-19dci-confort-dynamique-en-salamanca.htm?id=8077900,3990
38,Renault,Scénic,Grand  1.5dci Limited Edc 7pl.,2015,,123.000 km,Diesel,110 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-scenic-grand--15dci-limited-edc-7pl-en-alicante.htm?id=8066111,11999
