,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Renault,Twingo,Tce Energy S&s Zen 66kw,2019,09,29.938 km,Gasolina,90 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-energy-s_s-zen-66kw-en-toledo.htm?id=8091061,9699
1,Renault,Twingo,Sce Energy S&s Intens 52kw,2015,10,56.170 km,Gasolina,70 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-toledo.htm?id=8048658,7599
2,Renault,Twingo,1.5dci Authentique Eco2,2009,,202.000 km,Diesel,65 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-15dci-authentique-eco2-en-barcelona.htm?id=7983265,2500
3,Renault,Twingo,Sce Energy S&s Zen 52kw,2015,07,175.000 km,Gasolina,70 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-zen-52kw-en-sevilla.htm?id=8035484,8799
4,Renault,Twingo,Tce Intens 55kw,2020,06,30.000 km,Gasolina,75 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-intens-55kw-en-malaga.htm?id=7261598,13390
5,Renault,Twingo,Sce Energy S&s Intens 52kw,2018,,67.703 km,Gasolina,70 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-tenerife.htm?id=8125306,10340
6,Renault,Twingo,Sce Energy S&s Intens Plus 52kw,2017,,78.600 km,Gasolina,70 CV,manual,5 puertas,amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-plus-52kw-en-tenerife.htm?id=8125305,10340
7,Renault,Twingo,Sce Energy S&s Zen 52kw,2016,03,14.100 km,Gasolina,70 CV,manual,5 puertas,Azul Cielo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-zen-52kw-en-madrid.htm?id=7982893,9650
8,Renault,Twingo,Sce Energy S&s Intens 52kw,2014,09,47.500 km,Gasolina,70 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-madrid.htm?id=7982885,9650
9,Renault,Twingo,1.6 Renault Sport,2013,07,114.604 km,Gasolina,133 CV,manual,3 puertas,Negro/amarillo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-16-renault-sport-en-madrid.htm?id=7900139,10350
10,Renault,Twingo,Electric Zen R80 60kw Batería 20kw/h,2021,,33.573 km,Eléctrico,81 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-electric-zen-r80-60kw-bateria-20kwh-en-madrid.htm?id=8086836,22500
11,Renault,Twingo,Sce Energy S&s Intens 52kw,2017,,84.000 km,Gasolina,70 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-palmas+las.htm?id=7950259,8990
12,Renault,Twingo,Sce Energy S&s Intens 52kw,2017,,79.000 km,Gasolina,70 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-palmas+las.htm?id=7924265,9490
13,Renault,Twingo,1.6 16v Rs,2010,,112.000 km,Gasolina,133 CV,manual,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-16-16v-rs-en-murcia.htm?id=7897346,10500
14,Renault,Twingo,Sce Energy S&s Limited 52kw,2021,05,4.888 km,Gasolina,70 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-limited-52kw-en-valencia.htm?id=7893994,13400
15,Renault,Twingo,1.2 16v Dynamique Eco2,2010,,120.790 km,Gasolina,75 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-16v-dynamique-eco2-en-barcelona.htm?id=8098297,3000
16,Renault,Twingo,1.2 Emotion Eco2,2012,,88.000 km,Gasolina,75 CV,manual,3 puertas,negro nacarado,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-emotion-eco2-en-guipuzcoa.htm?id=8068340,5810
17,Renault,Twingo,1.2 Emotion Eco2,2012,,78.500 km,Gasolina,75 CV,manual,3 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-emotion-eco2-en-madrid.htm?id=8042580,5995
18,Renault,Twingo,1.2 16v Privilege,2007,,156.500 km,Gasolina,75 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-16v-privilege-en-illes+balears.htm?id=7990377,2800
19,Renault,Twingo,1.6 16v Rs,2009,,113.000 km,Gasolina,133 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-16-16v-rs-en-murcia.htm?id=7908591,6100
20,Renault,Twingo,1.2 Emotion Eco2,2012,,94.130 km,Gasolina,75 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-emotion-eco2-en-pontevedra.htm?id=7826118,6000
21,Renault,Twingo,1.5dci Dynamique Eco2,2007,,80.000 km,Diesel,65 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-15dci-dynamique-eco2-en-rioja+la.htm?id=8062827,3200
22,Renault,Twingo,1.2 Alizé,1999,,301.234 km,Gasolina,60 CV,manual,3 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-alize-en-palmas+las.htm?id=7719102,2400
23,Renault,Twingo,Tce Gt 81kw,2019,,17.384 km,Gasolina,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-gt-81kw-en-barcelona.htm?id=7646995,14900
24,Renault,Twingo,1.2 16v Dynamique Eco2,2008,,77.000 km,Gasolina,75 CV,manual,3 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-16v-dynamique-eco2-en-malaga.htm?id=7723049,4000
25,Renault,Twingo,Sce Energy S&s Intens 52kw,2014,,39.000 km,Gasolina,70 CV,manual,5 puertas,ROJO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-vizcaya.htm?id=8130131,7900
26,Renault,Twingo,1.2 16v Privilege,2001,,71.500 km,Gasolina,75 CV,manual,3 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-12-16v-privilege-en-cantabria.htm?id=7997201,2100
27,Renault,Twingo,Electric Techno 60kw Batería 20kw/h,2023,01,1 km,Eléctrico,81 CV,"directo, sin caja de cambios",5 puertas,BLANCO,Profesional,https://www.coches.com/km0/seminuevo-renault-twingo-electric-techno-60kw-bateria-20kwh-en-illes+balears.htm?id=8127893,25200
28,Renault,Twingo,Tce Intens 68kw,2020,01,26.200 km,Gasolina,94 CV,manual,5 puertas,BLANCO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-intens-68kw-en-murcia.htm?id=8123721,16900
29,Renault,Twingo,Sce Energy S&s Limited 52kw,2019,09,45.061 km,Gasolina,70 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-limited-52kw-en-granada.htm?id=8123120,10990
30,Renault,Twingo,Tce Intens 55kw,2020,10,108.778 km,Gasolina,75 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-intens-55kw-en-malaga.htm?id=8119434,9500
31,Renault,Twingo,Tce Energy S&s Limited 66kw,2018,11,28.000 km,Gasolina,90 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-energy-s_s-limited-66kw-en-pontevedra.htm?id=8114745,16200
32,Renault,Twingo,Sce Energy S&s Intens 52kw,2015,01,119.990 km,Gasolina,70 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-sce-energy-s_s-intens-52kw-en-madrid.htm?id=8104914,9990
33,Renault,Twingo,Tce Le Coq Sportif 68kw,2020,09,11.000 km,Gasolina,94 CV,manual,5 puertas,Blanco Cristal,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-renault-twingo-tce-le-coq-sportif-68kw-en-cadiz.htm?id=8100567,14690
