,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Seat,Ateca,1.5 Ecotsi S&s Style Xm,2023,,29.340 km,Gasolina,150 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-xm-en-malaga.htm?id=8104686,25690
1,Seat,Ateca,2.0tdi Cr S&s X-perience 150,2022,01,25.000 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-20tdi-cr-s_s-x-perience-150-en-malaga.htm?id=8109665,27400
2,Seat,Ateca,1.6tdi Cr S&s Ecomotive Style,2018,04,107.121 km,Diesel,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-16tdi-cr-s_s-ecomotive-style-en-sevilla.htm?id=8112960,19450
3,Seat,Arona,1.0 Tsi Ecomotive S&s Style 95,2020,05,18.260 km,Gasolina,95 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-95-en-malaga.htm?id=7836804,16900
4,Seat,Ateca,1.0 Tsi S&s Style,2021,,17.000 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-10-tsi-s_s-style-en-malaga.htm?id=7625605,24500
5,Seat,Ateca,1.5 Ecotsi S&s Style,2019,,140.000 km,Gasolina,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-15-ecotsi-s_s-style-en-malaga.htm?id=8035394,14999
6,Seat,Ateca,1.0 Tsi S&s Ecomotive Style,2018,,90.000 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ateca-10-tsi-s_s-ecomotive-style-en-malaga.htm?id=8035391,16999
7,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2019,05,58.636 km,Gasolina,115 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-toledo.htm?id=8082518,14499
8,Seat,Arona,1.0 Tsi Ecomotive S&s Reference Plus 95,2017,11,41.173 km,Gasolina,95 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-reference-plus-95-en-toledo.htm?id=8060782,12699
9,Seat,Ibiza,1.4tdi Cr S&s Style 105,2016,,119.252 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-14tdi-cr-s_s-style-105-en-cadiz.htm?id=8019596,8990
10,Seat,León,1.5 Tsi S&s Fr 150,2022,10,25.630 km,Gasolina,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-15-tsi-s_s-fr-150-en-malaga.htm?id=8126065,20890
11,Seat,Ibiza,Sc 1.2tdi Cr Reference,2014,,195.000 km,Diesel,75 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-ibiza-sc-12tdi-cr-reference-en-malaga.htm?id=8125667,5500
12,Seat,Altea,Xl 1.9tdi Reference,2007,07,115.732 km,Diesel,105 CV,manual,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-altea-xl-19tdi-reference-en-sevilla.htm?id=8118021,5750
13,Seat,Arona,1.6tdi Cr S&s Style 115,2018,,63.060 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-16tdi-cr-s_s-style-115-en-malaga.htm?id=8116913,14000
14,Seat,Arona,1.0 Tsi Ecomotive S&s Style 115,2019,,52.144 km,Gasolina,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-arona-10-tsi-ecomotive-s_s-style-115-en-malaga.htm?id=8114199,14900
15,Seat,León,St 1.6tdi Cr S&s Style Dsg 115,2017,,70.000 km,Diesel,115 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-st-16tdi-cr-s_s-style-dsg-115-en-malaga.htm?id=8098043,11999
16,Seat,León,2.0tdi Cr S&s Fr 184,2014,01,111.156 km,Diesel,184 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-leon-20tdi-cr-s_s-fr-184-en-toledo.htm?id=8094804,14399
