,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Seat,Toledo,1.6tdi Cr Xcellence 115,2017,,172.000 km,Diesel,115 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-xcellence-115-en-sevilla.htm?id=8088328,10990
1,Seat,Toledo,1.6tdi Cr Style 105,2014,12,106.164 km,Diesel,105 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-style-105-en-toledo.htm?id=8064730,9499
2,Seat,Toledo,1.0 Ecotsi S&s Xcellence Edition 110,2017,10,49.035 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-xcellence-edition-110-en-madrid.htm?id=7993488,13990
3,Seat,Toledo,1.0 Ecotsi S&s Xcellence Edition 110,2017,10,49.035 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-xcellence-edition-110-en-madrid.htm?id=7988861,13990
4,Seat,Toledo,1.6tdi Cr Reference 105,2012,,133.000 km,Diesel,105 CV,manual,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-reference-105-en-alicante.htm?id=7529100,9490
5,Seat,Toledo,1.0 Ecotsi S&s Style Edition 110,2018,,6.300 km,Gasolina,110 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-style-edition-110-en-barcelona.htm?id=7311418,16400
6,Seat,Toledo,2.0tdi Sport,2006,,320.000 km,Diesel,140 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-20tdi-sport-en-madrid.htm?id=8130565,2500
7,Seat,Toledo,1.9 Tdi Signum-a,2000,,366.000 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-signum-a-en-almeria.htm?id=8122267,2600
8,Seat,Toledo,1.2 Tsi S&s Style Advanced 110,2017,,110.000 km,Gasolina,110 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-12-tsi-s_s-style-advanced-110-en-murcia.htm?id=8110176,12000
9,Seat,Toledo,1.6tdi Cr S&s Style 105,2013,,431.000 km,Diesel,105 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-s_s-style-105-en-castellon.htm?id=7913128,4850
10,Seat,Toledo,1.9 Tdi 90 Stella,2000,,430.000 km,Diesel,90 CV,manual,4 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-90-stella-en-rioja+la.htm?id=8096778,1000
11,Seat,Toledo,1.9 Tdi Sport,1999,,299.000 km,Diesel,110 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-sport-en-jaen.htm?id=7917470,1850
12,Seat,Toledo,1.9 Tdi Signum-a,2002,,175.000 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-signum-a-en-granada.htm?id=7669763,3100
13,Seat,Toledo,1.9 Tdi 130 Signa,2004,,130.000 km,Diesel,130 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-130-signa-en-madrid.htm?id=7960065,4000
14,Seat,Toledo,1.9 Tdi Stella,2000,,370.000 km,Diesel,110 CV,manual,4 puertas,naranja,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-stella-en-madrid.htm?id=7884591,900
15,Seat,Toledo,1.9 Tdi Sport,2000,,310.915 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-sport-en-pontevedra.htm?id=7814691,2200
16,Seat,Toledo,1.6tdi Cr Reference 105,2013,,51.000 km,Diesel,105 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-reference-105-en-barcelona.htm?id=7797197,12000
17,Seat,Toledo,1.9 Tdi 90 Stella,2000,,107.500 km,Diesel,90 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-90-stella-en-guipuzcoa.htm?id=8112153,2300
18,Seat,Toledo,1.0 Ecotsi S&s Reference Edition 95,2018,,100.000 km,Gasolina,95 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-reference-edition-95-en-madrid.htm?id=8098098,15000
19,Seat,Toledo,1.6tdi Cr Style 105,2014,,76.600 km,Diesel,105 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-style-105-en-madrid.htm?id=8068838,11700
20,Seat,Toledo,2.3i V5,1999,,290 km,Gasolina,150 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-23i-v5-en-granada.htm?id=7660415,1100
21,Seat,Toledo,1.6i Sport Tech,2003,,240.000 km,Gasolina,105 CV,manual,4 puertas,beige,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16i-sport-tech-en-cordoba.htm?id=8008940,1200
22,Seat,Toledo,2.0tdi Stylance,2005,,189.000 km,Diesel,140 CV,manual,5 puertas,azul,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-20tdi-stylance-en-valencia.htm?id=7878580,4000
23,Seat,Toledo,1.9 Tdi Signum-a,2001,,69.000 km,Diesel,110 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-signum-a-en-palencia.htm?id=7778858,3150
24,Seat,Toledo,1.2 Tsi S&s Style 105,2014,11,149.000 km,Gasolina,105 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-12-tsi-s_s-style-105-en-sevilla.htm?id=8113160,9490
25,Seat,Toledo,1.9 Tdi 90 Stella,2000,,480.000 km,Diesel,90 CV,manual,4 puertas,rojo,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-90-stella-en-cadiz.htm?id=7983607,500
26,Seat,Toledo,1.9 Tdi 90 Stella,2001,,330.000 km,Diesel,90 CV,manual,4 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-19-tdi-90-stella-en-sevilla.htm?id=7731763,1600
27,Seat,Toledo,1.0 Ecotsi S&s Reference Edition 95,2018,06,91.164 km,Gasolina,95 CV,manual,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-reference-edition-95-en-madrid.htm?id=8121462,12490
28,Seat,Toledo,1.0 Ecotsi S&s Xcellence Edition 110,2019,02,69.314 km,Gasolina,110 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-xcellence-edition-110-en-granada.htm?id=8114814,14990
29,Seat,Toledo,1.2 Tsi S&s Style 105,2013,01,220.000 km,Gasolina,105 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-12-tsi-s_s-style-105-en-cadiz.htm?id=8104109,6940
30,Seat,Toledo,1.2 Tsi Reference 90,2016,09,82.000 km,Gasolina,90 CV,manual,5 puertas,Gris / Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-12-tsi-reference-90-en-vizcaya.htm?id=8101814,10990
31,Seat,Toledo,1.2 Tsi S&s Style Advanced 110,2016,03,58.652 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-12-tsi-s_s-style-advanced-110-en-madrid.htm?id=8074077,12990
32,Seat,Toledo,1.0 Ecotsi S&s Xcellence Edition 110,2018,01,87.049 km,Gasolina,110 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-10-ecotsi-s_s-xcellence-edition-110-en-madrid.htm?id=8071167,12990
33,Seat,Toledo,1.6tdi Cr Reference 105,2015,01,93.262 km,Diesel,105 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-seat-toledo-16tdi-cr-reference-105-en-valencia.htm?id=8017811,11495
