,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Skoda,Octavia,1.5 Tsi Mhev Selection Dsg,2023,,8.000 km,Gasolina,150 CV,automática secuencial,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-15-tsi-mhev-selection-dsg-en-madrid.htm?id=8050010,29990
1,Skoda,Octavia,1.0 Tsi Ambition Dsg,2018,,34.220 km,Gasolina,115 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-10-tsi-ambition-dsg-en-barcelona.htm?id=7862885,16499
2,Skoda,Octavia,1.9tdi Tradition Tour,2005,06,190.000 km,Diesel,90 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-19tdi-tradition-tour-en-madrid.htm?id=6357731,3499
3,Skoda,Octavia,1.6tdi Cr Ambition 105,2014,,128.000 km,Diesel,105 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-105-en-badajoz.htm?id=8048752,12900
4,Skoda,Octavia,2.0 Tsi Rs Dsg,2023,,3.350 km,Gasolina,245 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-20-tsi-rs-dsg-en-illes+balears.htm?id=8028991,37900
5,Skoda,Octavia,1.4tsi Phev Rs Dsg,2021,07,34.810 km,Híbrido,245 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-rs-dsg-en-toledo.htm?id=8099659,32899
6,Skoda,Octavia,2.0tdi Cr Ambition,2015,,373.000 km,Diesel,150 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-en-vizcaya.htm?id=8086904,5999
7,Skoda,Octavia,1.6tdi Cr Like,2017,,70.894 km,Diesel,115 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-like-en-malaga.htm?id=8082466,13900
8,Skoda,Octavia,2.0 Tsi Rs Dsg,2023,02,9.924 km,Gasolina,245 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-20-tsi-rs-dsg-en-toledo.htm?id=8064695,32699
9,Skoda,Octavia,1.4tsi Phev Ambition Dsg,2022,05,19.050 km,Híbrido,204 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-ambition-dsg-en-madrid.htm?id=7550719,31300
10,Skoda,Octavia,1.4tsi Phev Ambition Dsg,2022,05,18.436 km,Híbrido,204 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-ambition-dsg-en-madrid.htm?id=7550657,31400
11,Skoda,Octavia,1.4tsi Phev Ambition Dsg,2022,02,20.001 km,Híbrido,204 CV,automática secuencial,5 puertas,Rojo,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-14tsi-phev-ambition-dsg-en-palmas+las.htm?id=8107032,23100
12,Skoda,Octavia,1.6tdi Cr Like,2017,,74.756 km,Diesel,115 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-like-en-malaga.htm?id=8086456,13900
13,Skoda,Octavia,1.6tdi Cr Like,2017,,85.205 km,Diesel,115 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-like-en-malaga.htm?id=8059269,13900
14,Skoda,Octavia,2.0tdi Cr Ambition 110kw,2017,05,145.886 km,Diesel,150 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-110kw-en-sevilla.htm?id=7963993,12890
15,Skoda,Octavia,2.0tdi Cr Ambition 110kw,2017,05,145.886 km,Diesel,150 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-110kw-en-madrid.htm?id=7963961,12890
16,Skoda,Octavia,2.0tdi Cr Ambition 110kw,2017,05,145.886 km,Diesel,150 CV,manual,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-110kw-en-malaga.htm?id=7962469,12890
17,Skoda,Octavia,2.0 Tsi Rs Dsg,2023,,4.000 km,Gasolina,245 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-20-tsi-rs-dsg-en-madrid.htm?id=8122088,37490
18,Skoda,Octavia,2.0 Tsi Rs Dsg,2023,,4.500 km,Gasolina,245 CV,automática secuencial,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-20-tsi-rs-dsg-en-madrid.htm?id=8098128,37690
19,Skoda,Octavia,1.6tdi Cr Active 110,2016,,122.516 km,Diesel,110 CV,manual,5 puertas,marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-active-110-en-malaga.htm?id=8083178,10900
20,Skoda,Octavia,2.0tdi Cr Ambition Dsg 110kw,2019,05,108.705 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-dsg-110kw-en-pontevedra.htm?id=8055583,16200
21,Skoda,Octavia,Combi 2.0tdi Rs Dsg 135kw,2019,,141.000 km,Diesel,184 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-20tdi-rs-dsg-135kw-en-coruna+a.htm?id=7983282,22900
22,Skoda,Octavia,2.0tdi Ambition 110kw,2023,02,17.200 km,Diesel,150 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-ambition-110kw-en-madrid.htm?id=7816490,27500
23,Skoda,Octavia,Combi 2.0tdi Cr Style,2015,,149.000 km,Diesel,150 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-20tdi-cr-style-en-madrid.htm?id=8120700,13450
24,Skoda,Octavia,1.6tdi Cr Ambition,2019,12,194.500 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-en-badajoz.htm?id=8110445,10900
25,Skoda,Octavia,2.0tdi Rs,2015,,178.944 km,Diesel,184 CV,manual,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-rs-en-asturias.htm?id=8098276,14890
26,Skoda,Octavia,Combi 1.4 Tsi Style Dsg 150,2016,09,139.275 km,Gasolina,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-14-tsi-style-dsg-150-en-toledo.htm?id=8067570,13899
27,Skoda,Octavia,1.6tdi Cr Ambition 105,2013,,230.000 km,Diesel,105 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-105-en-vizcaya.htm?id=8066517,7699
28,Skoda,Octavia,1.6tdi Cr Ambition 110,2016,09,100.501 km,Diesel,110 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-110-en-toledo.htm?id=8058889,10990
29,Skoda,Octavia,2.0 Tsi Rs Dsg,2023,,8.000 km,Gasolina,245 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-skoda-octavia-20-tsi-rs-dsg-en-madrid.htm?id=8051959,36990
30,Skoda,Octavia,Combi 1.5 Tsi Ambition 110kw,2020,06,72.000 km,Gasolina,150 CV,manual,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-15-tsi-ambition-110kw-en-madrid.htm?id=8043259,16990
31,Skoda,Octavia,1.6tdi Cr Ambition Dsg,2020,02,85.358 km,Diesel,115 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-dsg-en-sevilla.htm?id=8008472,15890
32,Skoda,Octavia,1.6tdi Cr Ambition Dsg,2020,02,85.358 km,Diesel,115 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-dsg-en-madrid.htm?id=8008410,15890
33,Skoda,Octavia,1.6tdi Cr Ambition Dsg,2020,02,85.358 km,Diesel,115 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-ambition-dsg-en-malaga.htm?id=8004820,15890
34,Skoda,Octavia,Combi 2.0tdi Cr Style,2017,,140.000 km,Diesel,150 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-20tdi-cr-style-en-alicante.htm?id=7984961,14749
35,Skoda,Octavia,2.0tdi Cr Ambition Dsg 110kw,2019,05,91.368 km,Diesel,150 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-20tdi-cr-ambition-dsg-110kw-en-pontevedra.htm?id=7870819,17500
36,Skoda,Octavia,Combi 2.0tdi Ambition Dsg 110kw,2020,,94.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-combi-20tdi-ambition-dsg-110kw-en-toledo.htm?id=8130646,23900
37,Skoda,Octavia,1.6tdi Cr Active,2018,,139.000 km,Diesel,115 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-skoda-octavia-16tdi-cr-active-en-badajoz.htm?id=8128918,15900
