,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Ssangyong,Torres,G15t Life 4x2 Aut.,2023,,1 km,Gasolina,163 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-aut-en-alava.htm?id=8084903,37960
1,Ssangyong,Torres,G15t Adventure 4x4 Aut.,2023,01,8 km,Gasolina,163 CV,automática,5 puertas,VERDE FORESTA METAL,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-adventure-4x4-aut-en-barcelona.htm?id=8081026,40900
2,Ssangyong,Torres,G15t Life 4x2,2023,,600 km,Gasolina,163 CV,manual,5 puertas,verde,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-en-cadiz.htm?id=8100037,34725
3,Ssangyong,Torres,G15t Trend 4x2,2023,,1 km,Gasolina,163 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-trend-4x2-en-alava.htm?id=8048793,32950
4,Ssangyong,Torres,G15t Trend 4x2,2023,09,875 km,Gasolina,163 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-trend-4x2-en-alicante.htm?id=8044008,31950
5,Ssangyong,Torres,G15t Life 4x2,2023,,1 km,Gasolina,163 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-en-alava.htm?id=7998998,35460
6,Ssangyong,Torres,G15t Trend 4x2,2023,06,0 km,Gasolina,163 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-trend-4x2-en-tarragona.htm?id=8026808,33400
7,Ssangyong,Torres,G15t Trend 4x2,2023,10,NUEVO,Gasolina,163 CV,manual,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-trend-4x2-en-burgos.htm?id=8008109,33325
8,Ssangyong,Torres,G15t Life 4x2 Aut.,2023,10,NUEVO,Gasolina,163 CV,automática,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-aut-en-burgos.htm?id=8008107,42825
9,Ssangyong,Torres,G15t Life 4x2,2023,10,NUEVO,Gasolina,163 CV,manual,5 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-en-burgos.htm?id=8008106,35825
10,Ssangyong,Torres,G15t Life 4x2 Aut.,2023,10,0 km,Gasolina,163 CV,automática,5 puertas,Plata,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-life-4x2-aut-en-barcelona.htm?id=8086424,36600
11,Ssangyong,Torres,G15t Adventure 4x4 Aut.,2023,08,1.200 km,Gasolina,163 CV,automática,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-ssangyong-torres-g15t-adventure-4x4-aut-en-madrid.htm?id=8068901,40900
12,Ssangyong,Torres,G15t Life 4x2,2023,02,11.000 km,Gasolina,163 CV,manual,5 puertas,FOREST GREEN,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-ssangyong-torres-g15t-life-4x2-en-murcia.htm?id=8062016,33950
