,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-pintura-especial-en-madrid.htm?id=8061507,60822
1,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,4.500 km,Híbrido,248 CV,automática continua,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-pintura-especial-en-barcelona.htm?id=8099990,59900
2,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-pintura-especial-en-madrid.htm?id=8061506,60822
3,Toyota,Highlander,2.5 Hybrid Advance Techo Panorámico,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-techo-panoramico-en-leon.htm?id=7933152,62400
4,Toyota,Highlander,2.5 Hybrid Advance Techo Panorámico,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-techo-panoramico-en-leon.htm?id=7933149,63100
5,Toyota,Highlander,2.5 Hybrid Luxury,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-luxury-en-madrid.htm?id=8061509,68705
6,Toyota,Highlander,2.5 Hybrid Luxury,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-luxury-en-madrid.htm?id=8061508,68705
7,Toyota,Highlander,2.5 Hybrid Advance,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-en-salamanca.htm?id=7933959,61800
8,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,14.662 km,Híbrido,248 CV,automática continua,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-highlander-25-hybrid-advance-pintura-especial-en-illes+balears.htm?id=8130549,56900
9,Toyota,Highlander,2.5 Hybrid Advance,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-en-madrid.htm?id=7698915,59900
10,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-pintura-especial-en-madrid.htm?id=7628119,59900
11,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2023,,NUEVO,Híbrido,248 CV,automática continua,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-highlander-25-hybrid-advance-pintura-especial-en-madrid.htm?id=7628117,59900
12,Toyota,Highlander,2.5 Hybrid Advance Pintura Especial,2021,12,60.531 km,Híbrido,248 CV,automática continua,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-highlander-25-hybrid-advance-pintura-especial-en-madrid.htm?id=8106576,49980
13,Toyota,Highlander,2.5 Hybrid Luxury  Pintura Especial,2023,04,14.455 km,Híbrido,248 CV,automática continua,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-highlander-25-hybrid-luxury--pintura-especial-en-madrid.htm?id=8076104,66790
