,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Proace,Van Media L1 2.0d Gx 120,2021,,136.952 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-van-media-l1-20d-gx-120-en-alava.htm?id=8083591,23880
1,Toyota,Proace,Van Media 1.5d Business 120,2020,,89.000 km,Diesel,120 CV,manual,4 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-van-media-15d-business-120-en-barcelona.htm?id=8050244,15990
2,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,70.230 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-madrid.htm?id=7918940,17890
3,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,70.230 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-sevilla.htm?id=7892518,17890
4,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,70.230 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-malaga.htm?id=7844378,17890
5,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,74.229 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-madrid.htm?id=7918935,18890
6,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,74.229 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-sevilla.htm?id=7892516,18890
7,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,74.229 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-malaga.htm?id=7844376,18890
8,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,80.628 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-madrid.htm?id=7918930,18890
9,Toyota,Proace,Combi L1 1.5d 9pl. 100,2020,02,80.628 km,Diesel,102 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-proace-combi-l1-15d-9pl-100-en-sevilla.htm?id=7892514,18890
