,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Verso,115d Advance 7pl.,2018,,58.600 km,Diesel,112 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-7pl-en-valencia.htm?id=8108676,18600
1,Toyota,Verso,115d Advance 5pl.,2015,,234.000 km,Diesel,112 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-5pl-en-vizcaya.htm?id=8082376,9500
2,Toyota,Verso,130 Advance 7pl.,2015,,87.800 km,Gasolina,132 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-7pl-en-sevilla.htm?id=8095199,14400
3,Toyota,Verso,115d Advance 7pl.,2014,,122.500 km,Diesel,112 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-7pl-en-palmas+las.htm?id=8015616,13990
4,Toyota,Verso,2.0d Advance 120 7pl.,2013,,11.900 km,Diesel,126 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-20d-advance-120-7pl-en-madrid.htm?id=8002153,11900
5,Toyota,Verso,130 Advance 5pl.,2017,09,22.929 km,Gasolina,132 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-5pl-en-palmas+las.htm?id=7917243,19995
6,Toyota,Verso,120d Advance 5pl.,2014,,114.747 km,Diesel,124 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-120d-advance-5pl-en-valencia.htm?id=7041232,14000
7,Toyota,Verso,2.0d4d Active 5pl.,2011,,249.000 km,Diesel,126 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-20d4d-active-5pl-en-murcia.htm?id=8117008,6901
8,Toyota,Verso,130 Advance 7pl.,2018,,49.899 km,Gasolina,132 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-7pl-en-albacete.htm?id=8035109,18900
9,Toyota,Verso,150d Advance 7pl. Autodrive,2013,,150.000 km,Diesel,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-150d-advance-7pl-autodrive-en-asturias.htm?id=7765889,14900
10,Toyota,Verso,115d Advance 5pl.,2014,05,93.161 km,Diesel,112 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-5pl-en-madrid.htm?id=8022949,12450
11,Toyota,Verso,115d Comfort 7pl.,2015,,196.000 km,Diesel,112 CV,manual,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-comfort-7pl-en-albacete.htm?id=7951664,11500
12,Toyota,Verso,115d Comfort 5pl.,2015,,117.000 km,Diesel,112 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-comfort-5pl-en-murcia.htm?id=8061545,10999
13,Toyota,Verso,130 Advance 5pl.,2014,,105.000 km,Gasolina,132 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-5pl-en-alicante.htm?id=8122562,12995
14,Toyota,Verso,115d Advance 5pl.,2017,,98.250 km,Diesel,112 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-5pl-en-zaragoza.htm?id=8119805,13300
15,Toyota,Verso,1.6 Active,2011,,166.500 km,Gasolina,132 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-16-active-en-barcelona.htm?id=8097498,7950
16,Toyota,Verso,115d Advance 7pl.,2017,,67.700 km,Diesel,112 CV,manual,5 puertas,negro,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-advance-7pl-en-sevilla.htm?id=7713740,17300
17,Toyota,Verso,2.0d4d Active,2011,,92.600 km,Diesel,126 CV,manual,5 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-20d4d-active-en-barcelona.htm?id=7721633,7900
18,Toyota,Verso,130 Advance 7pl.,2013,,60.670 km,Gasolina,132 CV,manual,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-7pl-en-barcelona.htm?id=7721595,12950
19,Toyota,Verso,130 Advance 7pl.,2017,01,60.600 km,Gasolina,132 CV,manual,5 puertas,Otros,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-7pl-en-madrid.htm?id=8127334,17990
20,Toyota,Verso,120d Advance 7pl.,2013,07,144.000 km,Diesel,124 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-120d-advance-7pl-en-madrid.htm?id=8126350,10490
21,Toyota,Verso,115d Comfort 7pl.,2016,06,124.000 km,Diesel,112 CV,manual,5 puertas,Marrón,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-115d-comfort-7pl-en-cadiz.htm?id=8125103,13999
22,Toyota,Verso,130 Advance 7pl.,2015,05,75.197 km,Gasolina,132 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-toyota-verso-130-advance-7pl-en-toledo.htm?id=8122636,12999
