,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Toyota,Bz4X,220e 4x4 Style Plus,2023,,7.199 km,Eléctrico,218 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-220e-4x4-style-plus-en-barcelona.htm?id=8086845,48490
1,Toyota,Bz4X,200e 4x2 Advance,2023,,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,negro,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-advance-en-salamanca.htm?id=7933752,49300
2,Toyota,Bz4X,200e 4x2 Style Plus,2023,,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-style-plus-en-leon.htm?id=7933008,53290
3,Toyota,Bz4X,200e 4x2 Advance,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-advance-en-madrid.htm?id=8061595,49350
4,Toyota,Bz4X,220e 4x4 Style Plus,2023,,NUEVO,Eléctrico,218 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-220e-4x4-style-plus-en-madrid.htm?id=8057790,56350
5,Toyota,Bz4X,220e 4x4 Advance,2023,,NUEVO,Eléctrico,218 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-220e-4x4-advance-en-madrid.htm?id=8057786,52350
6,Toyota,Bz4X,220e 4x4 Advance,2023,,NUEVO,Eléctrico,218 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-220e-4x4-advance-en-madrid.htm?id=8057781,52350
7,Toyota,Bz4X,200e 4x2 Style Plus,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-style-plus-en-madrid.htm?id=8057779,53350
8,Toyota,Bz4X,200e 4x2 Advance,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-advance-en-madrid.htm?id=8057778,49350
9,Toyota,Bz4X,200e 4x2 Style Plus,2023,,NUEVO,Eléctrico,204 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-style-plus-en-madrid.htm?id=8057776,53350
10,Toyota,Bz4X,200e 4x2 Advance,2023,06,5 km,Eléctrico,204 CV,"directo, sin caja de cambios",5 puertas,Plateado,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-200e-4x2-advance-en-zaragoza.htm?id=7877385,50200
11,Toyota,Bz4X,220e 4x4 Style Plus,2023,,NUEVO,Eléctrico,218 CV,automática,5 puertas,rojo,Profesional,https://www.coches.com/km0/seminuevo-toyota-bz4x-220e-4x4-style-plus-en-madrid.htm?id=8025244,56350
