,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Golf,Variant 1.6tdi Cr Bmt Edition 105,2013,,140.000 km,Diesel,105 CV,automática,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-variant-16tdi-cr-bmt-edition-105-en-madrid.htm?id=8125648,8750
1,Volkswagen,Golf,1.0 Tsi 81kw,2021,08,39.648 km,Gasolina,110 CV,manual,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-81kw-en-palmas+las.htm?id=8101683,17990
2,Volkswagen,Golf,1.0 Tsi Advance 81kw,2017,,40.000 km,Gasolina,110 CV,manual,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-tsi-advance-81kw-en-tarragona.htm?id=7994614,15900
3,Volkswagen,Golf,2.0 Tfsi Gti,2007,,195.000 km,Gasolina,200 CV,manual,3 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20-tfsi-gti-en-zaragoza.htm?id=7816341,8900
4,Volkswagen,Golf,1.5 Tsi Evo Advance Dsg7 110kw,2019,,5.720 km,Gasolina,150 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-15-tsi-evo-advance-dsg7-110kw-en-almeria.htm?id=8042621,21900
5,Volkswagen,Golf,2.0tdi Cr Advance Dsg,2009,,179.364 km,Diesel,110 CV,manual,5 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-cr-advance-dsg-en-barcelona.htm?id=7969137,8299
6,Volkswagen,Golf,2.0tdi Sport Dsg7 110kw,2019,,129.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-sport-dsg7-110kw-en-castellon.htm?id=7877978,18500
7,Volkswagen,Golf,1.6tdi Advance 85kw,2020,02,132.571 km,Diesel,115 CV,manual,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-16tdi-advance-85kw-en-toledo.htm?id=8099658,16399
8,Volkswagen,Golf,1.0 Etsi Life Dsg 81kw,2021,01,77.800 km,Gasolina,110 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-10-etsi-life-dsg-81kw-en-malaga.htm?id=7860088,23500
9,Volkswagen,Golf,2.0tdi Life Dsg 110kw,2021,,59.000 km,Diesel,150 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-golf-20tdi-life-dsg-110kw-en-malaga.htm?id=7263398,27950
