,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,10.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-cadiz.htm?id=7873266,47900
1,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7936670,56100
2,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7917064,54237
3,Volkswagen,Idbuzz,Id.buzz Pro,2023,,3.328 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=8104726,47900
4,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,1.185 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=8089115,47690
5,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7917070,58551
6,Volkswagen,Idbuzz,Id.buzz Pro,2023,,9.990 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=8058240,57490
7,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,1.917 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco Candy/starlight Blue Me,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-tarragona.htm?id=8033544,47900
8,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,03,13.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-barcelona.htm?id=8002226,57990
9,Volkswagen,Idbuzz,Id.buzz Pro,2023,,6.980 km,Eléctrico,204 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-caceres.htm?id=7931398,51990
10,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,,4.799 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-madrid.htm?id=7882699,51900
11,Volkswagen,Idbuzz,Id.buzz Pro,2023,02,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-alicante.htm?id=7688771,58900
12,Volkswagen,Idbuzz,Id.buzz Pro,2023,07,2.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-alicante.htm?id=8046009,60900
13,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,13.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-cantabria.htm?id=8032851,57900
14,Volkswagen,Idbuzz,Id.buzz Pro,2023,09,123 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-salamanca.htm?id=8022897,53800
15,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,3.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-ciudad+real.htm?id=8016735,49800
16,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-zaragoza.htm?id=8006498,49800
17,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,06,3.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-almeria.htm?id=8002904,59900
18,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,12.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-ciudad+real.htm?id=7989332,50700
19,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,6.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-almeria.htm?id=7774421,58900
20,Volkswagen,Idbuzz,Id.buzz Pro,2023,03,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=7736255,66200
21,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-barcelona.htm?id=7567303,72200
22,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=7567299,65100
23,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,12.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-asturias.htm?id=8096270,53000
24,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,150 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-cantabria.htm?id=8085846,51900
25,Volkswagen,Idbuzz,Id.buzz Pro,2023,07,15.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-pro-en-valladolid.htm?id=8074955,48900
26,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,1.185 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=8067656,47690
27,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,10.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-cadiz.htm?id=8063325,47900
28,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,680 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-alicante.htm?id=8006506,50700
29,Volkswagen,Idbuzz,Id.buzz Pro,2024,01,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=7999969,58900
30,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,06,3.100 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-badajoz.htm?id=7966427,55000
31,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,10.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-cadiz.htm?id=7873266,47900
32,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,automática,4 puertas,blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7936670,56100
33,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7917064,54237
34,Volkswagen,Idbuzz,Id.buzz Pro,2023,,3.328 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=8104726,47900
35,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,1.185 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=8089115,47690
36,Volkswagen,Idbuzz,Id.buzz Pro,2023,,NUEVO,Eléctrico,204 CV,automática,4 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-madrid.htm?id=7917070,58551
37,Volkswagen,Idbuzz,Id.buzz Pro,2023,,9.990 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-barcelona.htm?id=8058240,57490
38,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,1.917 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco Candy/starlight Blue Me,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-tarragona.htm?id=8033544,47900
39,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,03,13.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-barcelona.htm?id=8002226,57990
40,Volkswagen,Idbuzz,Id.buzz Pro,2023,,6.980 km,Eléctrico,204 CV,automática,4 puertas,azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-caceres.htm?id=7931398,51990
41,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,,4.799 km,Eléctrico,204 CV,automática,4 puertas,naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-madrid.htm?id=7882699,51900
42,Volkswagen,Idbuzz,Id.buzz Pro,2023,02,NUEVO,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-alicante.htm?id=7688771,58900
43,Volkswagen,Idbuzz,Id.buzz Pro,2023,07,2.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-alicante.htm?id=8046009,60900
44,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,13.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-cantabria.htm?id=8032851,57900
45,Volkswagen,Idbuzz,Id.buzz Pro,2023,09,123 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Verde,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-salamanca.htm?id=8022897,53800
46,Volkswagen,Idbuzz,Id.buzz Pro,2023,06,3.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-ciudad+real.htm?id=8016735,49800
47,Volkswagen,Idbuzz,Id.buzz Pro,2023,01,5.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Azul,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-pro-en-zaragoza.htm?id=8006498,49800
48,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,06,3.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-almeria.htm?id=8002904,59900
49,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,12.000 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Naranja,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-idbuzz-idbuzz-1st-edition-en-ciudad+real.htm?id=7989332,50700
50,Volkswagen,Idbuzz,Id.buzz 1st Edition,2023,01,6.500 km,Eléctrico,204 CV,"directo, sin caja de cambios",4 puertas,Amarillo,Profesional,https://www.coches.com/km0/seminuevo-volkswagen-idbuzz-idbuzz-1st-edition-en-almeria.htm?id=7774421,58900
