,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volkswagen,Scirocco,2.0 Tsi Bmt R-line 132kw,2016,,84.000 km,Gasolina,180 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-20-tsi-bmt-r-line-132kw-en-asturias.htm?id=8075640,20900
1,Volkswagen,Scirocco,1.4 Tsi 160,2009,,220.000 km,Gasolina,160 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-160-en-salamanca.htm?id=8101235,7990
2,Volkswagen,Scirocco,1.4 Tsi Dsg 160,2009,,235.000 km,Gasolina,160 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-dsg-160-en-barcelona.htm?id=8104730,7950
3,Volkswagen,Scirocco,2.0 Tsi Dsg 210,2010,,178.000 km,Gasolina,210 CV,automática secuencial,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-20-tsi-dsg-210-en-alicante.htm?id=8095860,14499
4,Volkswagen,Scirocco,1.4 Tsi Bmt R-line,2017,07,73.397 km,Gasolina,125 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-bmt-r-line-en-toledo.htm?id=8093272,16899
5,Volkswagen,Scirocco,1.4 Tsi Dsg 160,2010,01,177.000 km,Gasolina,160 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-dsg-160-en-barcelona.htm?id=8085590,10999
6,Volkswagen,Scirocco,2.0tdi Bmt R-line Dsg 135kw,2015,,172.000 km,Diesel,184 CV,automática secuencial,3 puertas,azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-20tdi-bmt-r-line-dsg-135kw-en-salamanca.htm?id=8073480,16999
7,Volkswagen,Scirocco,2.0tdi Bmt R-line 110kw,2016,01,180.000 km,Diesel,150 CV,manual,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-20tdi-bmt-r-line-110kw-en-murcia.htm?id=7967631,14800
8,Volkswagen,Scirocco,2.0 Tsi Bmt R-line Dsg 132kw,2015,11,90.000 km,Gasolina,180 CV,automática secuencial,3 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-20-tsi-bmt-r-line-dsg-132kw-en-coruna+a.htm?id=7933337,21990
9,Volkswagen,Scirocco,1.4 Tsi 160,2013,05,116.100 km,Gasolina,160 CV,manual,3 puertas,Butano,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-160-en-madrid.htm?id=7898511,15950
10,Volkswagen,Scirocco,1.4 Tsi 160,2009,,217.000 km,Gasolina,160 CV,manual,3 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-160-en-barcelona.htm?id=8018531,10900
11,Volkswagen,Scirocco,1.4 Tsi 160,2010,,206.000 km,Gasolina,160 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-160-en-teruel.htm?id=8106325,7800
12,Volkswagen,Scirocco,1.4 Tsi 160,2009,,260.000 km,Gasolina,160 CV,manual,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-160-en-zaragoza.htm?id=8060852,8500
13,Volkswagen,Scirocco,1.4 Tsi Dsg 160,2012,,143.000 km,Gasolina,160 CV,automática secuencial,3 puertas,blanco,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volkswagen-scirocco-14-tsi-dsg-160-en-alicante.htm?id=8117016,15950
