,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,Xc90,T8 Twin Inscription Awd Aut.,2019,,106.559 km,Híbrido,390 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc90-t8-twin-inscription-awd-aut-en-castellon.htm?id=8083117,45000
1,Volvo,Xc60,T8 Twin R-design,2019,01,48.280 km,Híbrido,390 CV,automática secuencial,5 puertas,AZUL,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-r-design-en-barcelona.htm?id=7910800,45900
2,Volvo,Xc60,B4 Plus Dark Fwd Aut.,2022,,1 km,Diesel,197 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-xc60-b4-plus-dark-fwd-aut-en-alava.htm?id=8061699,55500
3,Volvo,Xc60,B4 Plus Dark Fwd Aut.,2022,,1 km,Diesel,197 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-xc60-b4-plus-dark-fwd-aut-en-alava.htm?id=8050247,54400
4,Volvo,Xc60,T8 Twin Inscription,2021,04,56.400 km,Híbrido,390 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t8-twin-inscription-en-vizcaya.htm?id=8041625,47900
5,Volvo,Xc40,T5 Recharge R-design Aut.,2021,01,33.836 km,Híbrido,262 CV,automática secuencial,5 puertas,NEGRO,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc40-t5-recharge-r-design-aut-en-barcelona.htm?id=7963151,43900
6,Volvo,Xc60,T6 Recharge Plus Bright,2023,,1 km,Híbrido,350 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-xc60-t6-recharge-plus-bright-en-alava.htm?id=8048790,63990
7,Volvo,Xc60,T6 Recharge Core,2022,06,33.000 km,Híbrido,350 CV,automática secuencial,5 puertas,Gris oscuro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-xc60-t6-recharge-core-en-alicante.htm?id=8044005,49500
8,Volvo,Xc40,P8 Recharge Ultimate Eléctrico Puro,2023,02,15 km,Eléctrico,231 CV,"directo, sin caja de cambios",5 puertas,Fjord Blue metalizado,Profesional,https://www.coches.com/km0/seminuevo-volvo-xc40-p8-recharge-ultimate-electrico-puro-en-badajoz.htm?id=7962774,52500
9,Volvo,Xc40,T4 Recharge Ultimate Bright Aut.,2023,04,1.314 km,Híbrido,211 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/km0/seminuevo-volvo-xc40-t4-recharge-ultimate-bright-aut-en-alicante.htm?id=7862288,49900
