,manufacturer,model,version,year,month,km,fuel,power_hp,transmission,no_doors,color,seller,link,price
0,Volvo,V90,D4 Momentum Aut. 190,2018,10,65.421 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-vizcaya.htm?id=8053443,29400
1,Volvo,V90,D4 Inscription Aut. 190,2017,,142.000 km,Diesel,190 CV,automática secuencial,5 puertas,beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-inscription-aut-190-en-badajoz.htm?id=8081527,24200
2,Volvo,V90,D4 Business Plus Aut. 190,2019,,90.826 km,Diesel,190 CV,automática secuencial,5 puertas,negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-business-plus-aut-190-en-madrid.htm?id=7853880,28990
3,Volvo,V90,D3 Momentum Aut. 150,2019,08,126.000 km,Diesel,149 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d3-momentum-aut-150-en-madrid.htm?id=8081208,25495
4,Volvo,V90,D3 Business Plus Aut. 150,2019,05,77.000 km,Diesel,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d3-business-plus-aut-150-en-madrid.htm?id=8081203,29495
5,Volvo,V90,D4 R-design Aut. 190,2020,02,45.650 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-r-design-aut-190-en-cordoba.htm?id=7981232,43500
6,Volvo,V90,T8 Inscription Twin Awd,2017,08,116.000 km,Híbrido,407 CV,automática secuencial,5 puertas,Gris Plata,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-t8-inscription-twin-awd-en-malaga.htm?id=7583337,37490
7,Volvo,V90,D3 Inscription Aut. 150,2017,,161.553 km,Diesel,149 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d3-inscription-aut-150-en-badajoz.htm?id=7979110,21800
8,Volvo,V90,D4 Momentum Aut. 190,2018,02,163.100 km,Diesel,190 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-madrid.htm?id=7898460,24900
9,Volvo,V90,D5 Business Plus Awd Aut.,2021,01,71.671 km,Diesel,235 CV,automática secuencial,5 puertas,Plateado,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-business-plus-awd-aut-en-toledo.htm?id=7877318,37490
10,Volvo,V90,T6 Recharge R-design Awd,2021,11,23.520 km,Híbrido,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-t6-recharge-r-design-awd-en-madrid.htm?id=7866807,63900
11,Volvo,V90,D4 Momentum Aut. 190,2018,,128.000 km,Diesel,190 CV,automática secuencial,5 puertas,gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-vizcaya.htm?id=7806132,26500
12,Volvo,V90,D4 Business Plus Aut. 190,2019,10,58.489 km,Diesel,190 CV,automática secuencial,5 puertas,Blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-business-plus-aut-190-en-sevilla.htm?id=7690237,36490
13,Volvo,V90,T8 Inscription Twin Awd,2019,,13.000 km,Híbrido,390 CV,automática secuencial,5 puertas,blanco,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-t8-inscription-twin-awd-en-burgos.htm?id=7029901,71900
14,Volvo,V90,T6 Recharge Inscription Awd,2022,01,1 km,Híbrido,350 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/km0/seminuevo-volvo-v90-t6-recharge-inscription-awd-en-madrid.htm?id=7006129,69600
15,Volvo,V90,D5 Inscription Awd Aut.,2017,,133.000 km,Diesel,235 CV,automática secuencial,5 puertas,gris,Particular,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-inscription-awd-aut-en-sevilla.htm?id=7733438,36000
16,Volvo,V90,T8 Momentum Twin Awd,2019,01,189.000 km,Híbrido,407 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-t8-momentum-twin-awd-en-madrid.htm?id=7448714,24590
17,Volvo,V90,B4 Plus Dark Aut.,2023,10,7 km,Diesel,197 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/km0/seminuevo-volvo-v90-b4-plus-dark-aut-en-madrid.htm?id=8129810,60900
18,Volvo,V90,D5 R-design Awd Aut.,2018,12,98.701 km,Diesel,235 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-r-design-awd-aut-en-madrid.htm?id=8124535,30500
19,Volvo,V90,B4 Plus Dark Aut.,2023,10,7 km,Diesel,197 CV,automática secuencial,5 puertas,Negro Onyx M.,Profesional,https://www.coches.com/km0/seminuevo-volvo-v90-b4-plus-dark-aut-en-madrid.htm?id=8120192,60900
20,Volvo,V90,D3 Momentum Aut. 150,2018,06,98.091 km,Diesel,150 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d3-momentum-aut-150-en-valladolid.htm?id=8116078,25900
21,Volvo,V90,D4 Momentum Aut. 190,2019,05,169.000 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-murcia.htm?id=8115784,23390
22,Volvo,V90,B5 Inscription Awd Aut.,2020,03,148.996 km,Diesel,235 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-b5-inscription-awd-aut-en-valencia.htm?id=8115028,38214
23,Volvo,V90,D5 Inscription Awd Aut.,2020,03,126.800 km,Diesel,235 CV,automática secuencial,5 puertas,Beige,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-inscription-awd-aut-en-valencia.htm?id=8115027,40120
24,Volvo,V90,D5 Momentum Pro Awd Aut.,2020,03,160.000 km,Diesel,235 CV,automática secuencial,5 puertas,Gris,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-momentum-pro-awd-aut-en-valencia.htm?id=8115025,37706
25,Volvo,V90,D4 Momentum Aut. 190,2019,03,105.860 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-valencia.htm?id=8115014,30465
26,Volvo,V90,D4 Momentum Aut. 190,2019,03,105.860 km,Diesel,190 CV,automática secuencial,5 puertas,Negro,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d4-momentum-aut-190-en-valencia.htm?id=8115013,31735
27,Volvo,V90,D5 Momentum Awd Aut.,2018,03,127.500 km,Diesel,235 CV,automática secuencial,5 puertas,Azul,Profesional,https://www.coches.com/coches-segunda-mano/ocasion-volvo-v90-d5-momentum-awd-aut-en-valencia.htm?id=8115012,33196
